"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"71",71,"my favorite brunette",1947,"approved",87,"comedy, crime, mystery",6.9,NA,"shortly before his execution on the death row in san quentin, amateur sleuth and baby photographer ronnie jackson, tells reporters how he got there.","elliott nugent","bob hope, dorothy lamour, peter lorre, lon chaney jr.",2388,NA
"72",72,"captain from castile",1947,"not rated",140,"adventure, drama, history",7,NA,"the invasion of mexico by cortez, as seen by a young spanish officer fleeing the inquisition.","henry king","tyrone power, jean peters, cesar romero, lee j. cobb",1399,NA
"73",73,"smash-up: the story of a woman",1947,"approved",103,"drama, film-noir, music",6.5,NA,"angie evans, fast-rising nightclub singer, interrupts her career to marry struggling songwriter ken conway. when ken lucks into a career as chart-topping radio crooner, angie is forced into...                see full summary »","stuart heisler","susan hayward, lee bowman, marsha hunt, eddie albert",912,NA
"74",74,"the romance of rosy ridge",1947,"approved",105,"comedy, drama, romance",6.9,NA,"janet leigh makes an impressive debut alongside van johnson in this historical romance in which a farmer's daughter falls in love with a man who fought against her family in the civil war. ...                see full summary »","roy rowland","van johnson, thomas mitchell, janet leigh, marshall thompson",366,NA
"75",75,"an ideal husband",1947,"approved",96,"comedy",6.6,NA,"a prominent politician is preparing to expose a financial scandal. but then a woman who has invested heavily in the shady venture threatens to uncover a damaging secret in the politician's ...                see full summary »","alexander korda","paulette goddard, michael wilding, diana wynyard, hugh williams",441,NA
"76",76,"body and soul",1947,"approved",104,"drama, film-noir, sport",7.8,NA,"a talented boxer's young career hits difficult terrain when an unethical promoter takes interest in him.","robert rossen","john garfield, lilli palmer, hazel brooks, anne revere",3484,NA
"77",77,"the hills of donegal",1947,NA,85,"drama",4.4,NA,"an irish singer marries the wrong man.","john argyle","dinah sheridan, james etherington, moore marriott, john bentley",14,NA
"78",78,"big town after dark",1947,"passed",69,"crime, drama, film-noir",5.9,NA,"a crusading newspaper reporter battles big-city gambling interests.","william c. thomas","phillip reed, hillary brooke, richard travis, ann gillis",96,NA
"79",79,"copacabana",1947,"passed",92,"comedy, musical",6.3,NA,"an agent has his only client pose as both a french chanteuse and brazilian bombshell to fool a nightclub owner.","alfred e. green","groucho marx, carmen miranda, steve cochran, andy russell",955,NA
"80",80,"california",1947,"passed",97,"romance, western",6.3,NA,"epic account of how california became a state, featuring a wagon train, the gold rush, a wicked saloon queen, and an evil profiteer.","john farrow","barbara stanwyck, ray milland, barry fitzgerald, george coulouris",618,NA
"81",81,"les maudits",1947,"not rated",105,"drama",7.2,NA,"oslo, april 19th 1945, as the third reich is living its last days, a group of nazis and sympathizers (a wehrmacht general; an ss commander and his ""assistant""; an italian industrialist and ...                see full summary »","rené clément","marcel dalio, henri vidal, florence marly, fosco giachetti",455,NA
"82",82,"desire me",1947,"approved",91,"drama, romance, war",6,NA,"shortly after wwii, flashbacks tell the story of marise, her husband paul, and jean, who was imprisoned with paul in a german camp. while attempting to escape from the camp paul is shot, ...                see full summary »","jack conway, george cukor, mervyn leroy, victor saville","greer garson, robert mitchum, richard hart, morris ankrum",469,NA
"83",83,"when you come home",1947,NA,98,"comedy",6.1,NA,"a music hall odd-job man, put-upon at work and at home, finally decides to assert himself when the theatre is threatened by secret redevelopment plans.","john baxter","frank randle, leslie sarony, leslie holmes, diana decker",15,NA
"84",84,"the unfinished dance",1947,"approved",101,"comedy, drama",6.6,NA,"meg, a young ballet student, idolizes the school's top ballerina, the shallow ariane bouchet. meg is distressed when she learns visiting prima ballerina darina rather than bouchet will play...                see full summary »","henry koster","margaret o'brien, cyd charisse, karin booth, danny thomas",334,NA
"85",85,"nora prentiss",1947,"approved",111,"drama, film-noir",7.2,NA,"quiet, organised dr talbot meets nightclub singer nora prentiss when she is slightly hurt in a street accident. despite her misgivings they become heavily involved and talbot finds he is ...                see full summary »","vincent sherman","ann sheridan, kent smith, bruce bennett, robert alda",989,NA
"86",86,"song of love",1947,NA,119,"drama, music, romance",6.8,NA,"composer robert schumann struggles to compose his symphonies while his loving wife clara offers her support. also helping the schumanns is their lifelong friend, composer johannes brahms.","clarence brown","katharine hepburn, paul henreid, robert walker, henry daniell",783,NA
"87",87,"the private affairs of bel ami",1947,"approved",112,"drama",6.8,NA,"writer georges duroy (george sanders) is one social-climbing s.o.b. who does most of his climbing over the warm (and cold) bodies of women. he begins with rachel (marie wilson), a hanger-on...                see full summary »","albert lewin","george sanders, angela lansbury, ann dvorak, john carradine",526,NA
"88",88,"the lost moment",1947,"not rated",89,"drama, film-noir, romance",7,NA,"an publisher insinuates himself into the mouldering mansion of the centenarian lover of a renowned but long-dead poet in order to find his lost love letters.","martin gabel","robert cummings, susan hayward, agnes moorehead, joan lorring",698,NA
"89",89,"dear ruth",1947,"approved",95,"comedy, romance",7.3,NA,"a family is befuddled when a world war ii serviceman shows up to meet and marry his pen pal sweetheart. everyone's in the dark about the romance by mail. then they discover ruth's younger sister was the culprit.","william d. russell","joan caulfield, william holden, mona freeman, edward arnold",310,NA
"90",90,"golden earrings",1947,"approved",95,"adventure, romance, war",6.8,NA,"on the eve of world war ii (1939) english officer ralph denistoun is in nazi germany on an espionage mission to recover a poison gas formula from prof. krosigk. he is helped by lydia and ...                see full summary »","mitchell leisen","ray milland, marlene dietrich, murvyn vye, bruce lester",837,NA
"91",91,"desperate",1947,"approved",73,"crime, film-noir, thriller",6.8,NA,"a young married couple flee both police and a gangster out for revenge.","anthony mann","steve brodie, audrey long, raymond burr, douglas fowley",1436,NA
"92",92,"fear in the night",1947,"passed",72,"crime, drama, film-noir",6.5,NA,"a man dreams he committed murder, then begins to suspect it was real.","maxwell shane","paul kelly, deforest kelley, ann doran, kay scott",996,NA
"93",93,"the macomber affair",1947,"approved",89,"adventure",6.7,NA,"robert wilson leads safaris on the kenyan savanna. on this occasion, he takes mr. and mrs. macomber out to hunt buffalo. the obnoxious ways of margaret macomber make the three of them get ...                see full summary »","zoltan korda","gregory peck, joan bennett, robert preston, reginald denny",674,NA
"94",94,"jassy",1947,NA,100,"drama, romance",6.6,NA,"in 17th. century england, jassy is believed a witch because she has sometimes visions of approaching disasters. when barney hatton, an impoverished gentry whose gambling father has lost the...                see full summary »","bernard knowles","margaret lockwood, patricia roc, dennis price, basil sydney",208,NA
"95",95,"the other love",1947,"passed",95,"drama, romance",6.2,NA,"seriously ill, concert pianist karen duncan is admitted to a swiss sanitorium. despite being attracted to dr tony stanton she ignores his warnings of possibly fatal consequences unless she ...                see full summary »","andré de toth","barbara stanwyck, david niven, richard conte, gilbert roland",492,NA
"96",96,"the unfaithful",1947,"approved",109,"crime, drama, film-noir",6.9,NA,"a los angeles socialite kills a man while home alone one night and claims he was an intruder she did not know. it seems like a clear case of self defense until the story hits the papers and people connected to the dead man come forward.","vincent sherman","ann sheridan, lew ayres, zachary scott, eve arden",700,NA
"97",97,"cinderella",1947,"g",80,"comedy, family, fantasy",7.8,NA,"a young woman forced into servitude by her step-family gets a chance to attend the royal ball.","nadezhda kosheverova, mikhail shapiro","yanina zhejmo, aleksey konsovskiy, erast garin, faina ranevskaya",808,NA
"98",98,"slave girl",1947,"approved",80,"action, adventure, comedy",5.6,NA,"an american adventurer goes to tripoli to rescue some kidnapped sailors, but gets involved with a beautiful slave girl.","charles lamont","yvonne de carlo, george brent, broderick crawford, albert dekker",64,NA
"99",99,"carnegie hall",1947,"approved",144,"music, drama",6.4,NA,"a mother (marsha hunt) wants her son (william prince) to grow up to be a pianist good enough to play at carnegie hall but, when grown, the son prefers to play with vaughan monroe's ...                see full summary »","edgar g. ulmer","marsha hunt, william prince, frank mchugh, martha o'driscoll",239,NA
"100",100,"the woman on the beach",1947,"approved",71,"drama, film-noir, romance",6.6,NA,"a coast guardsman suffering from post-traumatic stress becomes involved with a beautiful and enigmatic seductress married to a blind painter.","jean renoir","joan bennett, robert ryan, charles bickford, nan leslie",1438,NA
