"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"dracula",1992,"r",128,"horror",7.5,"57","the centuries old vampire count dracula comes to england to seduce his barrister jonathan harker's fiancée mina murray and inflict havoc in the foreign land.","francis ford coppola","gary oldman, winona ryder, anthony hopkins, keanu reeves",156882,NA
"2",2,"reservoir dogs",1992,"r",99,"crime, drama, thriller",8.3,"79","after a simple jewelry heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","quentin tarantino","harvey keitel, tim roth, michael madsen, chris penn",740491,NA
"3",3,"army of darkness",1992,"r",81,"comedy, horror",7.6,"57","a man is accidentally transported to 1300 a.d., where he must battle an army of the dead and retrieve the necronomicon so he can return home.","sam raimi","bruce campbell, embeth davidtz, marcus gilbert, ian abercrombie",140213,NA
"4",4,"the last of the mohicans",1992,"r",112,"action, adventure, drama",7.8,"76","three trappers protect a british colonel's daughters in the midst of the french and indian war.","michael mann","daniel day-lewis, madeleine stowe, russell means, eric schweig",123771,NA
"5",5,"aladdin",1992,"g",90,"animation, adventure, comedy",8,NA,"when a street urchin vies for the love of a beautiful princess, he uses a genie's magic power to make himself off as a prince in order to marry her.","ron clements, john musker","scott weinger, robin williams, linda larkin, jonathan freeman",289029,NA
"6",6,"unforgiven",1992,"r",130,"drama, western",8.2,"85","retired old west gunslinger william munny reluctantly takes on one last job, with the help of his old partner and a young man.","clint eastwood","clint eastwood, gene hackman, morgan freeman, richard harris",306438,NA
"7",7,"batman returns",1992,"pg-13",126,"action, adventure",7,"68","when a corrupt businessman and the grotesque penguin plot to take control of gotham city, only batman can stop them, while the catwoman has her own agenda.","tim burton","michael keaton, danny devito, michelle pfeiffer, christopher walken",233319,NA
"8",8,"wayne's world",1992,"pg-13",94,"comedy, music",7,"57","two slacker friends try to promote their public-access cable show.","penelope spheeris","mike myers, dana carvey, rob lowe, tia carrere",123104,NA
"9",9,"candyman",1992,"r",99,"horror, thriller",6.6,NA,"the candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.","bernard rose","virginia madsen, xander berkeley, tony todd, kasi lemmons",54561,NA
"10",10,"a league of their own",1992,"pg",128,"comedy, drama, family",7.2,"67","two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.","penny marshall","tom hanks, geena davis, lori petty, madonna",77382,NA
"11",11,"scent of a woman",1992,"r",156,"drama",8,"59","a prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.","martin brest","al pacino, chris o'donnell, james rebhorn, gabrielle anwar",211208,NA
