"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"the hateful eight",2015,"r",187,"crime, drama, mystery",7.8,"68","in the dead of a wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.","quentin tarantino","samuel l. jackson, kurt russell, jennifer jason leigh, walton goggins",365538,NA
"2",2,"avengers: age of ultron",2015,"pg-13",141,"action, adventure, sci-fi",7.4,"66","when tony stark and bruce banner try to jump-start a dormant peacekeeping program called ultron, things go horribly wrong and it's up to earth's mightiest heroes to stop the villainous ultron from enacting his terrible plan.","joss whedon","robert downey jr., chris evans, mark ruffalo, chris hemsworth",542830,NA
"3",3,"star wars: the force awakens",2015,"pg-13",136,"action, adventure, fantasy",8.1,"81","three decades after the empire's defeat, a new threat arises in the militant first order. stormtrooper defector finn and spare parts scavenger rey are caught up in the resistance's search for the missing luke skywalker.","j.j. abrams","daisy ridley, john boyega, oscar isaac, domhnall gleeson",694234,NA
"4",4,"the vvitch: a new-england folktale",2015,"r",92,"horror, mystery",6.8,"83","a family in 1630s new england is torn apart by the forces of witchcraft, black magic and possession.","robert eggers","anya taylor-joy, ralph ineson, kate dickie, julian richings",114246,NA
"5",5,NA,2015,NA,97,"comedy, drama",4.4,NA,"based on short stories from robert boswell's collection, seven vignettes explore the difference between fantasy and reality, memory and history, and the joy and agony of the human condition.","mark columbus, lauren hoekstra, sarah kruchowski, ryan moody, simon savelyev, vanita shastry, shadae lamar smith, jeremy david white, jonathan king","rico rodriguez, matthew modine, james franco, abigail spencer",223,NA
"6",6,"daddy's home",2015,"pg-13",96,"comedy, family",6.1,"42","brad whitaker is a radio host trying to get his stepchildren to love him and call him dad. but his plans turn upside down when their biological father, dusty mayron, returns.","sean anders","will ferrell, mark wahlberg, linda cardellini, thomas haden church",74164,NA
"7",7,"mad max: fury road",2015,"r",120,"action, adventure, sci-fi",8.1,"90","a woman rebels against a tyrannical ruler in postapocalyptic australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named max.","george miller","tom hardy, charlize theron, nicholas hoult, zoë kravitz",669188,NA
"8",8,"fifty shades of grey",2015,"r",125,"drama, romance, thriller",4.1,"46","literature student anastasia steele's life changes forever when she meets handsome, yet tormented, billionaire christian grey.","sam taylor-johnson","dakota johnson, jamie dornan, jennifer ehle, eloise mumford",251638,NA
"9",9,"the martian",2015,"pg-13",144,"adventure, drama, sci-fi",8,"80","an astronaut becomes stranded on mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to earth that he is alive.","ridley scott","matt damon, jessica chastain, kristen wiig, kate mara",586463,NA
"10",10,"the lobster",2015,"r",119,"comedy, drama, romance",7.1,"82","in a dystopian near future, single people, according to the laws of the city, are taken to the hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into the woods.","yorgos lanthimos","colin farrell, rachel weisz, jessica barden, olivia colman",134779,NA
"11",11,"spectre",2015,"pg-13",148,"action, adventure, thriller",6.8,"60","a cryptic message from bond's past, sends him on a trail to uncover a sinister organization. while m battles political forces to keep the secret service alive, bond peels back the layers of deceit to reveal the terrible truth behind s.p.e.c.t.r.e.","sam mendes","daniel craig, christoph waltz, léa seydoux, ralph fiennes",320950,NA
"12",12,"love",2015,"not rated",135,"drama, romance",6,"51","murphy is an american living in paris who enters a highly sexually and emotionally charged relationship with the unstable electra. unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","gaspar noé","aomi muyock, karl glusman, klara kristin, juan saavedra",26513,NA
