"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"the adventures of robin hood",1938,"pg",102,"action, adventure, romance",8,"97","when prince john and the norman lords begin oppressing the saxon masses in king richard's absence, a saxon lord fights back as the outlaw leader of a rebel guerrilla army.","michael curtiz, william keighley","errol flynn, olivia de havilland, basil rathbone, claude rains",41065,NA
"2",2,"a christmas carol",1938,"not rated",69,"drama, family, fantasy",7.5,NA,"on christmas eve, an old miser named ebenezer scrooge is visited by the spirit of his former partner, jacob marley. the deceased partner was in his lifetime as mean and miserly as scrooge ...                see full summary »","edwin l. marin","reginald owen, gene lockhart, kathleen lockhart, terry kilburn",4763,NA
"3",3,"vivacious lady",1938,"approved",90,"comedy, romance",7.3,NA,"a professor marries a nightclub singer, much to the consternation of his family and friends back home.","george stevens","ginger rogers, james stewart, james ellison, beulah bondi",2556,NA
"4",4,"bringing up baby",1938,"not rated",102,"comedy, family, romance",8,NA,"while trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, baby.","howard hawks","katharine hepburn, cary grant, charles ruggles, walter catlett",47687,NA
"5",5,"you can't take it with you",1938,"approved",126,"comedy, drama, romance",8,NA,"a man from a family of rich snobs becomes engaged to a woman from a good-natured but decidedly eccentric family.","frank capra","jean arthur, james stewart, lionel barrymore, edward arnold",19286,NA
"6",6,"the lady vanishes",1938,"not rated",96,"mystery, thriller",7.9,NA,"while traveling in continental europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.","alfred hitchcock","margaret lockwood, michael redgrave, paul lukas, may whitty",38946,NA
"7",7,"dramatic school",1938,"passed",80,"drama, romance",6.3,NA,"aspiring actress louise muban attends the prestigious paris school of drama during the day and works at a dreary factory assembling gas meters at night. she daydreams and ""acts"" her way ...                see full summary »","robert b. sinclair","luise rainer, paulette goddard, alan marshal, lana turner",276,NA
"8",8,"angels with dirty faces",1938,"approved",97,"crime, drama, film-noir",8,NA,"a priest tries to stop a gangster from corrupting a group of street kids.","michael curtiz","james cagney, pat o'brien, humphrey bogart, ann sheridan",17039,NA
"9",9,"jezebel",1938,"approved",104,"drama, romance",7.6,NA,"in 1850s louisiana, a free-spirited southern belle loses her fiancé due to her stubborn vanity and pride, and vows to win him back.","william wyler","bette davis, henry fonda, george brent, margaret lindsay",9672,NA
"10",10,"holiday",1938,"approved",95,"comedy, romance",7.9,NA,"a young man falls in love with a girl from a rich family. his unorthodox plan to go on holiday for the early years of his life is met with skepticism by everyone except for his fiancée's eccentric sister and long-suffering brother.","george cukor","katharine hepburn, cary grant, doris nolan, lew ayres",11684,NA
"11",11,"pygmalion",1938,"not rated",89,"comedy, drama, romance",7.9,NA,"a victorian dialect expert makes a bet that he can teach a cockney flower girl to speak proper english and pass as a lady in high society.","anthony asquith, leslie howard","leslie howard, wendy hiller, wilfrid lawson, marie lohr",6424,NA
"12",12,"blondie",1938,"approved",70,"comedy, family",7.1,NA,"in this first of the blondie series, dagwood loses his job on the eve of his and blondie's fifth wedding anniversary.","frank r. strayer","penny singleton, arthur lake, larry simms, daisy",382,NA
"13",13,"boys town",1938,"passed",96,"biography, drama",7.3,NA,"against all odds father flanagan starts ""boys' town"" after hearing a convict's story. whitey marsh comes there. he runs away but, hungry, returns. he runs away again but, when friend pee ...                see full summary »","norman taurog","spencer tracy, mickey rooney, henry hull, leslie fenton",4324,NA
"14",14,"listen, darling",1938,"passed",75,"comedy, drama, family",6.6,NA,"to stop pinkie's mother dottie from marrying a man they know she does not love, pinkie and her friend buzz kidnap her in the family trailer to live a life on the open road without worries ...                see full summary »","edwin l. marin","judy garland, freddie bartholomew, mary astor, walter pidgeon",432,NA
"15",15,"la bête humaine",1938,"not rated",100,"crime, drama",7.7,NA,"in this classic adaptation of emile zola's novel, a tortured train engineer falls in love with a troubled married woman who has helped her husband commit a murder.","jean renoir","jean gabin, julien carette, simone simon, fernand ledoux",5488,NA
"16",16,"alexander nevsky",1938,"not rated",112,"action, biography, drama",7.7,NA,"the story of how a great russian prince led a ragtag army to battle an invading force of teutonic knights.","sergei m. eisenstein, dmitriy vasilev","nikolay cherkasov, nikolai okhlopkov, andrei abrikosov, dmitriy orlov",8826,NA
"17",17,"the amazing dr. clitterhouse",1938,"approved",87,"crime, drama",7,NA,"black comedy about a brilliant park avenue doctor who becomes a criminal in order to do research into the criminal mind.","anatole litvak","edward g. robinson, humphrey bogart, claire trevor, allen jenkins",1865,NA
"18",18,"marie antoinette",1938,"passed",149,"biography, drama, history",7.6,NA,"the tragic life of marie antoinette, who became queen of france in her late teens.","w.s. van dyke, julien duvivier","norma shearer, tyrone power, john barrymore, robert morley",2257,NA
"19",19,"the citadel",1938,"passed",110,"drama",7.2,NA,"andrew manson, a young, enthusiastic doctor takes his first job in a welsh mining town, and begins to wonder at the persistent cough many of the miners have. when his attempts to prove its ...                see full summary »","king vidor","robert donat, rosalind russell, ralph richardson, rex harrison",1560,NA
"20",20,"algiers",1938,"unrated",96,"drama, mystery, romance",6.9,NA,"beautiful gaby meets a romantic jewel thief in the mysterious casbah.","john cromwell","charles boyer, hedy lamarr, sigrid gurie, joseph calleia",1897,NA
"21",21,"unashamed: a romance",1938,NA,66,"drama, romance",6.3,NA,"rae lane entices her workaholic boss to come to a nudist camp in the hopes of winning his heart. things go swimmingly, until attractive and pert blond barbara captures his attention.","allen stuart","rae kidd, robert stanley, lucille shearer, emily todd",50,NA
"22",22,"sex madness",1938,NA,57,"drama",2.5,NA,"philanthropist paul lorenz is one of the more public faces in the fight against behavior that spreads the many ""social diseases"", such as syphilis and gonorrhea. an example of such behavior...                see full summary »","dwain esper","vivian mcgill, rose tapley, al rigali, mark daniels",569,NA
"23",23,"the dawn patrol",1938,"not rated",103,"war, drama",7.6,NA,"british flying aces in world war i contend with the harsh realities of war.","edmund goulding","errol flynn, basil rathbone, david niven, donald crisp",2195,NA
"24",24,"rebecca of sunnybrook farm",1938,"approved",81,"comedy, drama, family",7.1,NA,"rebecca's uncle harry leaves her with aunt miranda who forbids her to associate with show people. but neighbor anthony kent is a talent scout who secretly set it up for her to broadcast.","allan dwan","shirley temple, randolph scott, jack haley, gloria stuart",1114,NA
"25",25,"joy of living",1938,"approved",91,"comedy, musical, romance",6.5,NA,"broadway star margaret garrett has spent her whole life working to support her sponging relatives. when she meets carefree dan webster, she learns how to have fun for the first time.","tay garnett","irene dunne, douglas fairbanks jr., alice brady, guy kibbee",579,NA
"26",26,"the cowboy and the lady",1938,"approved",91,"comedy, drama, romance",6.7,NA,"a lonely socialite masquerades as a maid and meets an unpretentious, plain-spoken cowboy who is unaware of her true identity.","h.c. potter, stuart heisler, william wyler","gary cooper, merle oberon, patsy kelly, walter brennan",954,NA
"27",27,"love finds andy hardy",1938,"passed",91,"comedy, romance",6.9,NA,"andy's girlfriend polly is planning to spend christmas at her grandmother's, which puts a kink in his plans to take her to the country club christmas party. he agrees (for a fee) to pretend...                see full summary »","george b. seitz","mickey rooney, judy garland, lewis stone, fay holden",1291,NA
"28",28,"billy the kid returns",1938,"passed",53,"comedy, music, romance",6.1,NA,"after pat garrett kills billy the kid, billy's look-alike roy rogers arrives and is mistaken for him. although a murderer, billy was on the side of the homesteaders against the large ...                see full summary »","joseph kane","roy rogers, smiley burnette, lynne roberts, morgan wallace",157,NA
"29",29,"three comrades",1938,"passed",98,"drama, romance",7.4,NA,"a love story centered around the lives of three young german soldiers in the years following world war i. their close friendship is strengthened by their shared love for the same woman who ...                see full summary »","frank borzage","robert taylor, margaret sullavan, franchot tone, robert young",1378,NA
