"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"elämää esplanaadikadulla",1904,NA,NA,NA,NA,NA,"add a plot",NA,NA,9,NA
"2",2,"the bengali fisherman",1904,NA,NA,NA,NA,NA,"add a plot",NA,NA,8,NA
"3",3,"los políticos",1904,NA,NA,NA,NA,NA,"add a plot",NA,NA,12,NA
"4",4,"asahi katsudô daishashin",1904,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"5",5,"abajo la careta",1904,NA,NA,NA,NA,NA,"add a plot",NA,NA,8,NA
