"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"titanic",1997,"pg-13",194,"drama, romance",7.8,"74","a seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated r.m.s. titanic.","james cameron","leonardo dicaprio, kate winslet, billy zane, kathy bates",867443,NA
"2",2,"the fifth element",1997,"pg-13",126,"action, adventure, sci-fi",7.7,"52","in the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep evil and mr. zorg at bay.","luc besson","bruce willis, milla jovovich, gary oldman, ian holm",372853,NA
"3",3,"men in black",1997,"pg-13",98,"adventure, comedy, family",7.3,"71","a police officer joins a secret organization that polices and monitors extraterrestrial interactions on earth.","barry sonnenfeld","tommy lee jones, will smith, linda fiorentino, vincent d'onofrio",441328,NA
"4",4,"good will hunting",1997,"r",126,"drama",8.3,"70","will hunting, a janitor at m.i.t., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","gus van sant","robin williams, matt damon, ben affleck, stellan skarsgård",681314,NA
"5",5,"boogie nights",1997,"r",155,"drama",7.9,"85","the story of a young man's adventures in the californian pornography industry of the late 1970s and early 1980s.","paul thomas anderson","mark wahlberg, julianne moore, burt reynolds, luis guzmán",202972,NA
"6",6,"life is beautiful",1997,"pg-13",116,"comedy, drama, war",8.6,"59","when an open-minded jewish librarian and his son become victims of the holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","roberto benigni","roberto benigni, nicoletta braschi, giorgio cantarini, giustino durano",480231,NA
"7",7,"l.a. confidential",1997,"r",138,"crime, drama, mystery",8.3,"90","as corruption grows in 1950s la, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","curtis hanson","kevin spacey, russell crowe, guy pearce, kim basinger",451459,NA
"8",8,"cube",1997,"r",90,"drama, mystery, sci-fi",7.3,"61","six complete strangers of widely varying personality characteristics are involuntarily placed in an endless maze containing deadly traps.","vincenzo natali","nicole de boer, maurice dean wint, david hewlett, andrew miller",176306,NA
"9",9,"i know what you did last summer",1997,"r",101,"horror, mystery, thriller",5.6,"52","after a nasty accident, four friends begin to drift apart. one year later julie james gets a anonymous message and then a slicker wearing, hook wielding killer begins to rip apart her life.","jim gillespie","jennifer love hewitt, sarah michelle gellar, anne heche, ryan phillippe",113834,NA
"10",10,"scream 2",1997,"r",120,"horror, mystery",6.1,"63","two years after the first series of murders, a new psychopath dons the ghostface costume and a new string of killings begins.","wes craven","neve campbell, courteney cox, david arquette, jada pinkett smith",134124,NA
"11",11,"hercules",1997,"g",93,"animation, adventure, comedy",7.2,"74","the son of the greek gods zeus and hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.","ron clements, john musker","tate donovan, susan egan, james woods, josh keaton",160971,NA
"12",12,"as good as it gets",1997,"pg-13",139,"comedy, drama, romance",7.7,"67","a single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.","james l. brooks","jack nicholson, helen hunt, greg kinnear, cuba gooding jr.",239053,NA
"13",13,"starship troopers",1997,"r",129,"action, adventure, sci-fi",7.2,"51","humans in a fascistic, militaristic future do battle with giant alien bugs in a fight for survival.","paul verhoeven","casper van dien, denise richards, dina meyer, jake busey",236252,NA
"14",14,"lolita",1997,"r",137,"drama, romance",6.9,"46","a man marries his landlady so he can take advantage of her daughter.","adrian lyne","jeremy irons, dominique swain, melanie griffith, frank langella",41826,NA
"15",15,"the devil's advocate",1997,"r",144,"drama, mystery, thriller",7.5,"60","an exceptionally adept florida lawyer is offered a job to work in new york city for a high-end law firm with a high-end boss - the biggest opportunity of his career to date.","taylor hackford","keanu reeves, al pacino, charlize theron, jeffrey jones",280720,NA
"16",16,"event horizon",1997,"r",96,"horror, sci-fi, thriller",6.7,"35","a rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.","paul w.s. anderson","laurence fishburne, sam neill, kathleen quinlan, joely richardson",131577,NA
"17",17,"alien: resurrection",1997,"r",109,"action, horror, sci-fi",6.2,"63","two centuries after her death, ellen ripley is revived as a powerful human/alien hybrid clone who must continue her war against the aliens.","jean-pierre jeunet","sigourney weaver, winona ryder, dominique pinon, ron perlman",192333,NA
"18",18,"gattaca",1997,"pg-13",106,"drama, sci-fi, thriller",7.8,"64","a genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.","andrew niccol","ethan hawke, uma thurman, jude law, gore vidal",239879,NA
