"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"shoulder arms",1918,"not rated",45,"comedy, war",6.9,NA,"charlie is a boot camp private who has a dream of being a hero who goes on a daring mission behind enemy lines.","charles chaplin","edna purviance, charles chaplin, syd chaplin, loyal underwood",4522,NA
"2",2,"tarzan of the apes",1918,"not rated",73,"action, adventure",6,NA,"the plot follows the novel more closely than does any other tarzan movie. john and alice clayton take ship for africa. mutineers maroon them. after his parents die the newborn tarzan is ...                see full summary »","scott sidney","elmo lincoln, enid markey, true boardman, kathleen kirkham",534,NA
"3",3,"ich möchte kein mann sein",1918,"not rated",45,"comedy, romance",7.1,NA,"a teenaged tomboy, tired of being bossed around by her strict guardian, impersonates a man so she can have more fun, but discovers that being the opposite sex isn't as easy as she had hoped.","ernst lubitsch","ossi oswalda, curt goetz, ferry sikla, margarete kupfer",903,NA
"4",4,"the outlaw and his wife",1918,NA,72,"drama",7.2,NA,"a stranger comes to work at widow halla's farm. halla and the stranger fall in love, but when he is revealed as eyvind, an escaped thief forced into crime by his family's starvation, they ...                see full summary »","victor sjöström","victor sjöström, edith erastoff, john ekman, jenny tschernichin-larsson",1191,NA
"5",5,"the eyes of the mummy",1918,"approved",63,"drama, horror",5.5,NA,"a girl is kidnapped and held captive in an ancient egyptian temple. she is rescued and flees to england, but soon finds that her mysterious captor is still haunting her.","ernst lubitsch","pola negri, harry liedtke, emil jannings, max laurence",453,NA
"6",6,"a trip to mars",1918,NA,97,"adventure, fantasy, sci-fi",6.8,NA,"a group of the researchers from the earth in a spaceship traveling to mars, where, to big surprise, finds a peaceful vegetarian and pacifist civilization.","holger-madsen","gunnar tolnæs, zanny petersen, nicolai neiiendam, alf blütecher",395,NA
"7",7,"hearts of the world",1918,"tv-pg",117,"drama, war",6.6,NA,"young lovers in a french village are torn apart with the coming of the great war.","d.w. griffith","lillian gish, dorothy gish, adolph lestina, josephine crowell",735,NA
"8",8,"stella maris",1918,"unrated",84,"drama",7.4,NA,"two young women - a paraplegic girl sheltered by her wealthy guardians and a more experienced orphan - fall in love with a man separated from his violent wife.","marshall neilan","mary pickford, ida waterman, herbert standing, conway tearle",1185,NA
"9",9,"cupid angling",1918,NA,NA,NA,NA,NA,NA,NA,"albert morrison, ruth roland",23,NA
"10",10,"carmen",1918,NA,80,"drama",6.2,NA,"the tragic story of don jose, a spanish cavalryman, who falls under the spell of a gypsy girl, carmen, who treats him with both love and contempt and leads him into temptation and thus ...                see full summary »","ernst lubitsch","pola negri, harry liedtke, leopold von ledebur, grete diercks",203,NA
