"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"the addams family",1991,"pg-13",99,"comedy, fantasy",6.8,"57","con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.","barry sonnenfeld","anjelica huston, raul julia, christopher lloyd, dan hedaya",105694,NA
"2",2,"the silence of the lambs",1991,"r",118,"crime, drama, thriller",8.6,"84","a young f.b.i. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","jonathan demme","jodie foster, anthony hopkins, lawrence a. bonney, kasi lemmons",997884,NA
"3",3,"hook",1991,"pg",142,"adventure, comedy, family",6.7,"52","when captain hook kidnaps his children, an adult peter pan must return to neverland and reclaim his youthful spirit in order to challenge his old enemy.","steven spielberg","dustin hoffman, robin williams, julia roberts, bob hoskins",197536,NA
"4",4,"terminator 2",1991,"r",137,"action, sci-fi, thriller",8.5,"75","a cyborg, identical to the one who failed to kill sarah connor, must now protect her ten year old son, john connor, from a more advanced cyborg.","james cameron","arnold schwarzenegger, linda hamilton, edward furlong, robert patrick",818862,NA
"5",5,"beauty and the beast",1991,"g",84,"animation, family, fantasy",8,"95","a young woman whose father has been imprisoned by a terrifying beast offers herself in his place, unaware that her captor is actually a prince, physically altered by a magic spell.","gary trousdale, kirk wise","paige o'hara, robby benson, jesse corti, rex everhart",347708,NA
"6",6,"jfk",1991,"r",189,"drama, history, thriller",8,"72","new orleans district attorney jim garrison discovers there's more to the kennedy assassination than the official story.","oliver stone","kevin costner, gary oldman, jack lemmon, walter matthau",122300,NA
"7",7,"point break",1991,"r",122,"action, crime, thriller",7.2,"58","an fbi agent goes undercover to catch a gang of surfers who may be bank robbers.","kathryn bigelow","patrick swayze, keanu reeves, gary busey, lori petty",124713,NA
"8",8,"cape fear",1991,"r",128,"crime, thriller",7.3,"73","a convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.","martin scorsese","robert de niro, nick nolte, jessica lange, juliette lewis",139146,NA
"9",9,"thelma & louise",1991,"r",130,"adventure, crime, drama",7.4,"88","two best friends set out on an adventure but it soon turns around to a terrifying escape from being hunted by the american police as these two girls escape for the crimes they committed!","ridley scott","susan sarandon, geena davis, harvey keitel, michael madsen",110486,NA
"10",10,"freddy's dead: the final nightmare",1991,"r",89,"comedy, fantasy, horror",4.9,NA,"dream-haunting freddy krueger returns once again to prowl the nightmares of springwood's last surviving teenager, and of a woman whose personal connection to krueger may mean his doom.","rachel talalay","robert englund, lisa zane, shon greenblatt, lezlie deane",33975,NA
"11",11,"boyz n the hood",1991,"r",112,"crime, drama",7.8,"76","follows the lives of three young males living in the crenshaw ghetto of los angeles, dissecting questions of race, relationships, violence and future prospects.","john singleton","cuba gooding jr., laurence fishburne, hudhail al-amir, lloyd avery ii",102915,NA
"12",12,"robin hood: prince of thieves",1991,"pg-13",143,"action, adventure, drama",6.9,NA,"when robin and his moorish companion come to england and the tyranny of the sheriff of nottingham, he decides to fight back as an outlaw.","kevin reynolds","kevin costner, morgan freeman, mary elizabeth mastrantonio, christian slater",154945,NA
"13",13,"child's play 3",1991,"r",90,"action, horror, thriller",5,NA,"chucky, the doll possessed by a serial killer, returns for revenge against andy, the young boy who defeated him and who has since become a teenager.","jack bender","justin whalin, perrey reeves, jeremy sylvers, travis fine",28177,NA
"14",14,"my girl",1991,"pg-13",102,"comedy, drama, family",6.8,"56","a young girl, on the threshold of her teen years, finds her life turning upside down, when she is accompanied by an unlikely friend.","howard zieff","anna chlumsky, macaulay culkin, dan aykroyd, jamie lee curtis",60732,NA
"15",15,"toy soldiers",1991,"r",111,"action, drama, thriller",6.5,NA,"when terrorists seize control of a boarding school, a group of troublemaking boys decide to resist them.","daniel petrie jr.","sean astin, wil wheaton, keith coogan, andrew divoff",17147,NA
"16",16,"nothing but trouble",1991,"pg-13",94,"comedy",4.9,NA,"a businessman and his friends are captured by a sadistic judge and his equally odd family in the backwoods of a bizarre mansion.","dan aykroyd","chevy chase, dan aykroyd, john candy, demi moore",18795,NA
"17",17,"fried green tomatoes",1991,"pg-13",130,"drama",7.7,"64","a housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.","jon avnet","kathy bates, jessica tandy, mary stuart masterson, mary-louise parker",56225,NA
"18",18,"the rocketeer",1991,"pg",108,"action, adventure, comedy",6.4,"62","a young pilot stumbles onto a prototype jetpack that allows him to become a high flying masked hero.","joe johnston","billy campbell, jennifer connelly, alan arkin, timothy dalton",45758,NA
"19",19,"the people under the stairs",1991,"r",102,"comedy, horror, mystery",6.3,NA,"two adults and a juvenile break into a house occupied by a brother and sister and their stolen children. there, they must fight for their lives.","wes craven","brandon quintin adams, everett mcgill, wendy robie, a.j. langer",25986,NA
"20",20,"ernest scared stupid",1991,"pg",91,"comedy, family, fantasy",5.8,NA,"ernest unleashes an ugly troll that plots to transform children into wooden dolls in the town of briarville, missouri.","john r. cherry iii                  :jim varney, eartha kitt, austin nagler, shay a","jim varney, eartha kitt, austin nagler, shay astar",9246,NA
"21",21,"the last boy scout",1991,"r",105,"action, comedy, crime",6.9,NA,"an lapd detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner.","tony scott","bruce willis, damon wayans, chelsea field, noble willingham",80692,NA
"22",22,"the doors",1991,"r",140,"biography, drama, music",7.2,"62","the story of the famous and influential 1960s rock band the doors and its lead singer and composer, jim morrison, from his days as a ucla film student in los angeles, to his untimely death in paris, france at age 27 in 1971.","oliver stone","val kilmer, meg ryan, kyle maclachlan, frank whaley",72805,NA
"23",23,"my own private idaho",1991,"r",104,"drama",7.1,"77","two best friends living on the streets of portland as hustlers embark on a journey of self discovery and find their relationship stumbling along the way.","gus van sant","river phoenix, keanu reeves, james russo, william richert",40350,NA
"24",24,"sleeping with the enemy",1991,"r",99,"drama, thriller",6.2,NA,"a young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband.","joseph ruben","julia roberts, patrick bergin, kevin anderson, elizabeth lawrence",40767,NA
"25",25,"return to the blue lagoon",1991,"pg-13",102,"adventure, drama, romance",5.1,NA,"in this sequel to the blue lagoon (1980), two children are stranded on a beautiful island in the south pacific. with no adults to guide them, the two make a simple life together and eventually become suntanned teenagers in love.","william a. graham","brian krause, milla jovovich, lisa pelikan, courtney barilla",15348,NA
"26",26,"naked lunch",1991,"r",115,"drama",7.1,"67","after developing an addiction to the substance he uses to kill bugs, an exterminator accidentally kills his wife, and becomes involved in a secret government plot being orchestrated by giant bugs in a port town in north africa.","david cronenberg","peter weller, judy davis, ian holm, julian sands",39408,NA
"27",27,"night on earth",1991,"r",129,"comedy, drama",7.8,"68","an anthology of 5 different cab drivers in 5 american and european cities and their remarkable fares on the same eventful night.","jim jarmusch","winona ryder, gena rowlands, lisanne falk, alan randolph scott",45111,NA
"28",28,"hot shots!",1991,"pg-13",84,"action, comedy",6.7,"61","a parody of top gun (1986) in which a talented but unstable fighter pilot must overcome the ghosts of his father and save a mission sabotaged by greedy weapons manufacturers.","jim abrahams","charlie sheen, cary elwes, valeria golino, lloyd bridges",85573,NA
"29",29,"the prince of tides",1991,"r",132,"drama, romance",6.7,"65","a troubled man talks to his suicidal sister's psychiatrist about their family history and falls in love with her in the process.","barbra streisand","barbra streisand, nick nolte, blythe danner, kate nelligan",13464,NA
"30",30,"all i want for christmas",1991,"g",92,"comedy, family, romance",6,NA,"a brother and sister attempt to bring their divorced parents back together for christmas.","robert lieberman","harley jane kozak, jamey sheridan, ethan embry, kevin nealon",3537,NA
"31",31,"jungle fever",1991,"r",132,"drama, romance",6.5,NA,"friends and family of a married black architect react in different ways to his affair with an italian secretary.","spike lee","wesley snipes, annabella sciorra, spike lee, ossie davis",14375,NA
