"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"rear window",1954,"pg",112,"mystery, thriller",8.5,NA,"a wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.","alfred hitchcock","james stewart, grace kelly, wendell corey, thelma ritter",352606,NA
"2",2,"seven samurai",1954,"not rated",207,"adventure, drama",8.7,"98","a poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.","akira kurosawa","toshirô mifune, takashi shimura, keiko tsushima, yukiko shimazaki",252738,NA
"3",3,"creature from the black lagoon",1954,"approved",79,"horror",7,NA,"a strange prehistoric beast lurks in the depths of the amazonian jungle. a group of scientists try to capture the animal and bring it back to civilization for study.","jack arnold","richard carlson, julie adams, richard denning, antonio moreno",19801,NA
"4",4,"the barefoot contessa",1954,"approved",128,"crime, drama, mystery",7.1,NA,"at maria vargas' funeral, several people recall who she was and the impact she had on them. harry dawes was a not very successful writer/director when he and movie producer kirk edwards ...                see full summary »","joseph l. mankiewicz","humphrey bogart, ava gardner, edmond o'brien, marius goring",7814,NA
"5",5,"on the waterfront",1954,"not rated",108,"crime, drama, thriller",8.2,"88","an ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.","elia kazan","marlon brando, karl malden, lee j. cobb, rod steiger",112484,NA
"6",6,"sabrina",1954,"unrated",113,"comedy, drama, romance",7.7,"72","a playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.","billy wilder","humphrey bogart, audrey hepburn, william holden, walter hampden",48586,NA
"7",7,"white christmas",1954,"not rated",120,"comedy, musical, romance",7.6,NA,"a successful song-and-dance team become romantically involved with a sister act and team up to save the failing vermont inn of their former commanding general.","michael curtiz","bing crosby, danny kaye, rosemary clooney, vera-ellen",23524,NA
"8",8,"dial m for murder",1954,"approved",105,"crime, film-noir, thriller",8.2,NA,"an ex-tennis pro carries out a plot to murder his wife. when things go wrong, he improvises a brilliant plan b.","alfred hitchcock","ray milland, grace kelly, robert cummings, john williams",121139,NA
"9",9,"gojira",1954,"not rated",96,"drama, horror, sci-fi",7.5,"78","american nuclear weapons testing results in the creation of a seemingly unstoppable, dinosaur-like beast.","ishirô honda","takashi shimura, akihiko hirata, akira takarada, momoko kôchi",21376,NA
"10",10,"20,000 leagues under the sea",1954,"approved",127,"adventure, drama, family",7.2,NA,"a ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the nautilus, commanded by captain nemo.","richard fleischer","kirk douglas, james mason, paul lukas, peter lorre",23975,NA
"11",11,"seven brides for seven brothers",1954,"g",102,"comedy, drama, musical",7.4,NA,"in 1850 oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too.","stanley donen","jane powell, howard keel, jeff richards, russ tamblyn",17508,NA
"12",12,"them!",1954,"approved",94,"horror, sci-fi",7.3,NA,"the earliest atomic tests in new mexico cause common ants to mutate into giant man-eating monsters that threaten civilization.","gordon douglas","james whitmore, edmund gwenn, joan weldon, james arness",16320,NA
"13",13,"the caine mutiny",1954,"approved",124,"drama, war",7.9,NA,"when a u.s. naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny.","edward dmytryk","humphrey bogart, josé ferrer, van johnson, fred macmurray",21243,NA
"14",14,"the bob mathias story",1954,"approved",80,"biography, drama, sport",6.1,NA,"california school boy and stanford university student bob mathias was the first man to win two olympic gold medals in the decathlon in the 1948 and 1952 olympics. the film begins with him ...                see full summary »","francis d. lyon","bob mathias, ward bond, melba mathias, howard petrie",92,NA
"15",15,"la strada",1954,"not rated",108,"drama",8.1,NA,"a care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.","federico fellini","anthony quinn, giulietta masina, richard basehart, aldo silvani",49539,NA
"16",16,"animal farm",1954,"unrated",72,"animation, drama",7.2,NA,"a successful farmyard revolution by the resident animals vs. the farmer goes horribly wrong as the victors create a new tyranny among themselves.","joy batchelor, john halas","gordon heath, maurice denham",11570,NA
"17",17,"brigadoon",1954,"passed",108,"fantasy, musical, romance",6.9,NA,"two americans on a hunting trip in scotland become lost. they encounter a small village, not on the map, called brigadoon, in which people harbor a mysterious secret, and behave as if they were still living two hundred years in the past.","vincente minnelli","gene kelly, van johnson, cyd charisse, elaine stewart",6236,NA
"18",18,"three coins in the fountain",1954,"unrated",102,"drama",6.3,NA,"three american women working in rome, italy, share a spacious apartment and the desire to find love and marriage, each experiencing a few bumps in their journeys to romance.","jean negulesco","clifton webb, dorothy mcguire, jean peters, louis jourdan",2445,NA
"19",19,"river of no return",1954,"approved",91,"adventure, romance, western",6.7,NA,"the titular river unites a farmer recently released from prison, his young son, and an ambitious saloon singer. in order to survive, each must be purged of anger, and each must learn to understand and care for the others.","otto preminger, jean negulesco","robert mitchum, marilyn monroe, rory calhoun, tommy rettig",8511,NA
"20",20,"a star is born",1954,"approved",154,"drama, musical, romance",7.8,NA,"a film star helps a young singer and actress find fame, even as age and alcoholism send his own career on a downward spiral.","george cukor","judy garland, james mason, jack carson, charles bickford",11515,NA
"21",21,"johnny guitar",1954,"passed",110,"drama, western",7.7,"83","after helping a wounded gang member, a strong-willed female saloon owner is wrongly suspected of murder and bank robbery by a lynch mob.","nicholas ray","joan crawford, sterling hayden, mercedes mccambridge, scott brady",12381,NA
"22",22,"the violent men",1954,"approved",96,"western",7,NA,"a bitter land dispute causes a civil war veteran to take extreme action.","rudolph maté","glenn ford, barbara stanwyck, edward g. robinson, dianne foster",1866,NA
"23",23,"beachhead",1954,"approved",90,"drama, war",6,NA,"in 1943, in the wake of the allied amphibious landing on the japanese held bougainville island, four marines are sent to scout the location of japanese minefields.","stuart heisler","tony curtis, frank lovejoy, mary murphy, eduard franz",657,NA
"24",24,"the far country",1954,"approved",97,"romance, western",7.2,NA,"a self-minded adventurer (jeff webster) locks horns with a crooked lawman (mr. gannon) while driving cattle to dawson.","anthony mann","james stewart, ruth roman, corinne calvet, walter brennan",5330,NA
"25",25,"the count of monte cristo",1954,NA,183,"adventure, drama, romance",7.2,NA,"edmond dantes is falsely accused by those jealous of his good fortune, and is sentenced to spend the rest of his life in the notorious island prison, chateau d'if. while imprisoned, he ...                see full summary »","robert vernay","jean marais, lia amanda, daniel ivernel, folco lulli",588,NA
"26",26,"ulysses",1954,"not rated",94,"adventure, fantasy, history",6.7,NA,"a movie adaptation of homer's second epic, that talks about ulysses' efforts to return to his home after the end of ten years of war.","mario camerini","kirk douglas, silvana mangano, anthony quinn, rossana podestà",2617,NA
"27",27,"the high and the mighty",1954,"not rated",147,"action, adventure, drama",6.9,NA,"when a commercial airliner develops engine problems on a trans-pacific flight and the pilot loses his nerve, it is up to the washed-up co-pilot dan roman to bring the plane in safely.","william a. wellman","john wayne, claire trevor, laraine day, robert stack",4603,NA
"28",28,"the glenn miller story",1954,"approved",115,"biography, drama, music",7.3,NA,"biography of bandleader glenn miller from his beginnings to his death over the english channel in december 1944.","anthony mann","james stewart, june allyson, harry morgan, charles drake",6625,NA
"29",29,"impulse",1954,NA,80,"crime, drama, mystery",6.1,NA,"an american realtor living in england is dissatisfied with what he believes to be his humdrum life. one weekend while his wife is out of town, he gives a ride to a woman he sees stranded on...                see full summary »","charles de la tour, cy endfield","arthur kennedy, constance smith, joy shelton, jack allen",69,NA
"30",30,"journey to italy",1954,"not rated",97,"drama, romance",7.4,"100","an unhappily married couple attempts to find direction and insight while vacationing in naples.","roberto rossellini","ingrid bergman, george sanders, maria mauban, anna proclemer",6413,NA
"31",31,"the country girl",1954,"unrated",104,"drama, music",7.3,NA,"a hires an alcoholic has-been and strikes up a stormy relationship with the actor's wife, who he believes is the cause of all the man's problems.","george seaton","bing crosby, grace kelly, william holden, anthony ross",4426,NA
"32",32,"senso",1954,"not rated",123,"drama, history, romance",7.7,NA,"a troubled and neurotic italian countess betrays her entire country for a self-destructive love affair with an austrian lieutenant.","luchino visconti","farley granger, alida valli, massimo girotti, heinz moog",4732,NA
"33",33,"hobson's choice",1954,"not rated",108,"comedy, drama, romance",7.7,NA,"henry hobson is a successful bootmaker, a widower and a tyrannical father of three daughters. the girls each want to leave their father by getting married, but henry refuses because marriage traditions require him to pay out settlements.","david lean","charles laughton, john mills, brenda de banzie, daphne anderson",5139,NA
"34",34,"the last time i saw paris",1954,"approved",116,"drama, romance",6.2,NA,"charles returns to paris to reminisce about the life he led in paris after it was liberated. he worked on ""stars and stripes"" when he met marion and helen. he would marry and be happy ...                see full summary »","richard brooks","elizabeth taylor, van johnson, walter pidgeon, donna reed",2730,NA
"35",35,"woman's world",1954,NA,94,"drama",7.1,NA,"an executive plans to fill a high-ranking position by interviewing the candidates' wives.","jean negulesco","van heflin, lauren bacall, clifton webb, june allyson",590,NA
"36",36,"the long, long trailer",1954,"approved",96,"comedy, romance",7.1,NA,"nicky and tacy are going to be married. nicky wants to save up money for a house, but tacy dreams of starting off with their own home on wheels--a trailer. after the two are hitched, they ...                see full summary »","vincente minnelli","lucille ball, desi arnaz, marjorie main, keenan wynn",3404,NA
"37",37,"game of danger",1954,NA,88,"drama",6.4,NA,"when a local bully is found shot to death, the police suspect a young man who had recently been seen arguing with him. when thy discover that they had been arguing over the affections of a ...                see full summary »","lance comfort","jack warner, derek farr, veronica hurst, michael medwin",78,NA
"38",38,"carmen jones",1954,"approved",105,"drama, musical, romance",6.9,NA,"contemporary version of the bizet opera, with new lyrics and an african-american cast.","otto preminger","harry belafonte, dorothy dandridge, pearl bailey, olga james",3610,NA
"39",39,"there's no business like show business",1954,"approved",117,"comedy, drama, musical",6.5,NA,"molly and terry donahue, plus their three children, are the five donahues. son tim meets hat-check girl vicky and the family act begins to fall apart.","walter lang","ethel merman, marilyn monroe, donald o'connor, dan dailey",4532,NA
"40",40,"secret of the incas",1954,"approved",100,"adventure",6.3,NA,"an adventurer searchers for hidden treasure in the peruvian jungles.","jerry hopper","charlton heston, robert young, nicole maurey, thomas mitchell",902,NA
"41",41,"demetrius and the gladiators",1954,"approved",101,"action, drama, history",6.7,NA,"in 1st century rome, christian slave demetrius is sent to fight in the gladiatorial arena and emperor caligula seeks jesus' robe for its supposedly magical powers.","delmer daves","victor mature, susan hayward, michael rennie, debra paget",2538,NA
"42",42,"the bridges at toko-ri",1954,"approved",102,"drama, romance, war",6.8,NA,"set during the korean war, a navy fighter pilot must come to terms with with his own ambivalence towards the war and the fear of having to bomb a set of highly defended bridges. the ending of this grim war drama is all tension.","mark robson","william holden, grace kelly, fredric march, mickey rooney",4467,NA
"43",43,"ride clear of diablo",1954,"approved",81,"western",7,NA,"when his father and brother are murdered by a corrupt lawyer and sheriff duo, railroad surveyor clay o'mara plans his revenge and is aided by former outlaw whitey kincade.","jesse hibbs","audie murphy, susan cabot, dan duryea, abbe lane",667,NA
"44",44,"désirée",1954,"not rated",110,"biography, drama, history",6.4,NA,"the rise and fall of napoleon bonaparte, emperor of france.","henry koster","marlon brando, jean simmons, merle oberon, michael rennie",2064,NA
"45",45,"sansho the bailiff",1954,"not rated",124,"drama",8.4,NA,"in medieval japan, a compassionate governor is sent into exile. his wife and children try to join him, but are separated, and the children grow up amid suffering and oppression.","kenji mizoguchi","kinuyo tanaka, yoshiaki hanayagi, kyôko kagawa, eitarô shindô",11271,NA
"46",46,"magnificent obsession",1954,"approved",108,"drama, romance",7.2,NA,"a selfish playboy enamored by a woman he seems to hurt more than he intends begins to understand a deeper meaning to their relationship.","douglas sirk","jane wyman, rock hudson, agnes moorehead, otto kruger",4696,NA
"47",47,"broken lance",1954,"approved",96,"adventure, western",7,NA,"the saga of the devereaux rancher family, set in 1880's arizona.","edward dmytryk","spencer tracy, robert wagner, jean peters, richard widmark",2720,NA
"48",48,"young at heart",1954,"approved",117,"drama, musical, romance",6.9,NA,"the lives and romances of three sisters in a musical family; the youngest daughter's life is complicated by the subsequent arrival of a charming composer and a cynical music arranger.","gordon douglas","frank sinatra, doris day, gig young, ethel barrymore",1838,NA
"49",49,"suddenly",1954,"unrated",75,"crime, drama, film-noir",6.8,NA,"in the city of suddenly, three gangsters trap the benson family in their own house, on the top of a hill nearby the railroad station, with the intention of killing the president of the usa.","lewis allen","frank sinatra, sterling hayden, james gleason, nancy gates",4772,NA
"50",50,"the silver chalice",1954,"approved",142,"drama, romance",4.6,NA,"a greek artisan is commissioned to cast the cup of christ in silver and sculpt around its rim the faces of the disciples and jesus himself. he travels to jerusalem and eventually to rome to...                see full summary »","victor saville","virginia mayo, pier angeli, jack palance, paul newman",1154,NA
"51",51,"the naked jungle",1954,"approved",95,"adventure, drama, thriller",6.9,NA,"the leiningen south american cocoa plantation is threatened by a 2-mile-wide, 20-mile-long column of army ants.","byron haskin","charlton heston, eleanor parker, abraham sofaer, william conrad",2982,NA
