"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"the godfather",1972,"r",175,"crime, drama",9.2,"100","the aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","francis ford coppola","marlon brando, al pacino, james caan, diane keaton",1279,NA
"2",2,"dracula a.d. 1972",1972,"pg",96,"fantasy, horror",5.9,NA,"johnny alucard raises count dracula from the dead in london in 1972. the count goes after the descendants of van helsing.","alan gibson","christopher lee, peter cushing, stephanie beacham, christopher neame",4175,NA
"3",3,"deliverance",1972,"r",109,"adventure, drama, thriller",7.7,NA,"intent on seeing the cahulawassee river before it's turned into one huge lake, outdoor fanatic lewis medlock takes his friends on a river-rafting trip they'll never forget into the dangerous american back-country.","john boorman","jon voight, burt reynolds, ned beatty, ronny cox",84023,NA
"4",4,"the last house on the left",1972,"unrated",84,"crime, drama, horror",6,NA,"two teenage girls head to a rock concert for one's birthday. while trying to score marijuana in the city, they are kidnapped and brutalized by a gang of psychotic convicts.","wes craven","sandra peabody, lucy grantham, david hess, fred j. lincoln",27396,NA
"5",5,"last tango in paris",1972,"nc-17",129,"drama, romance",7.1,"77","a young parisian woman meets a middle-aged american businessman who demands their clandestine relationship be based only on sex.","bernardo bertolucci","marlon brando, maria schneider, maria michi, giovanna galletti",40504,NA
"6",6,"solaris",1972,"pg",167,"drama, mystery, sci-fi",8.1,"90","a psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.","andrei tarkovsky","natalya bondarchuk, donatas banionis, jüri järvet, vladislav dvorzhetskiy",61315,NA
"7",7,"the cowboys",1972,"gp",134,"adventure, drama, western",7.4,NA,"rancher wil andersen is forced to hire inexperienced boys as cowhands in order to get his herd to market on time but the rough drive is full of dangers and a gang of cattle rustlers is trailing them.","mark rydell","john wayne, roscoe lee browne, bruce dern, colleen dewhurst",11068,NA
"8",8,"tales from the crypt",1972,"pg",92,"horror",7,NA,"five strangers get lost in a crypt and, after meeting the mysterious crypt keeper, receive visions of how they will die.","freddie francis","joan collins, peter cushing, roy dotrice, richard greene",7177,NA
"9",9,"cabaret",1972,"pg",124,"drama, musical",7.8,"80","a female girlie club entertainer in weimar republic era berlin romances two men while the nazi party rises to power around them.","bob fosse","liza minnelli, michael york, helmut griem, joel grey",39722,NA
"10",10,"pink flamingos",1972,"nc-17",93,"comedy, crime",6.1,NA,"notorious baltimore criminal and underground figure divine goes up against a sleazy married couple who make a passionate attempt to humiliate her and seize her tabloid-given title as ""the filthiest person alive"".","john waters","divine, david lochary, mary vivian pearce, mink stole",18280,NA
"11",11,"frenzy",1972,"r",116,"thriller",7.5,NA,"a serial murderer is strangling women with a necktie. the london police have a suspect, but he is the wrong man.","alfred hitchcock","jon finch, barry foster, barbara leigh-hunt, anna massey",33858,NA
"12",12,"jeremiah johnson",1972,"gp",108,"adventure, drama, western",7.6,NA,"a mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by indians, and proves to be a match for their warriors in one-on-one combat on the early frontier.","sydney pollack","robert redford, will geer, delle bolton, josh albee",23179,NA
"13",13,"the poseidon adventure",1972,"pg",117,"action, adventure, drama",7.1,NA,"a group of passengers struggle to survive and escape when their ocean liner completely capsizes at sea.","ronald neame, irwin allen","gene hackman, ernest borgnine, shelley winters, red buttons",35041,NA
"14",14,"the way of the dragon",1972,"r",90,"action, adventure, crime",7.3,NA,"a man visits his relatives at their restaurant in italy and has to help them defend against brutal gangsters harassing them.","bruce lee","bruce lee, chuck norris, nora miao, ping ou wei",25674,NA
"15",15,"aguirre, the wrath of god",1972,"not rated",95,"adventure, biography, drama",8,NA,"in the 16th century, the ruthless and insane don lope de aguirre leads a spanish expedition in search of el dorado.","werner herzog","klaus kinski, ruy guerra, helena rojo, del negro",42232,NA
"16",16,"blacula",1972,"pg",93,"fantasy, horror, romance",5.6,NA,"an ancient african prince, turned into a vampire by dracula himself, finds himself in modern los angeles.","william crain","william marshall, vonetta mcgee, denise nicholas, thalmus rasulala",4501,NA
