"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"la malia dell'oro",1905,NA,NA,NA,NA,NA,"add a plot",NA,NA,12,NA
"2",2,"halfaouine",1905,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"3",3,"valsons",1905,NA,NA,NA,NA,NA,"add a plot","alice guy","armand dranem",12,NA
"4",4,"la course aux tonneaux",1905,NA,NA,NA,NA,NA,"add a plot",NA,NA,8,NA
"5",5,"ensalada criolla",1905,NA,NA,NA,NA,NA,"add a plot",NA,NA,11,NA
"6",6,"bohemios",1905,NA,100,NA,NA,NA,"add a plot","ricardo de baños",NA,NA,NA
"7",7,"valtiopäiväkuvia",1905,NA,NA,NA,NA,NA,"add a plot",NA,NA,5,NA
"8",8,"eine fliegenjagd oder die rache der frau schultze",1905,NA,NA,NA,NA,NA,"add a plot","eugen skladanowsky, max skladanowsky","frida cotrelli, eugen skladanowsky",12,NA
"9",9,"kedélyes bohémek",1905,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
