"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"intolerance: love's struggle throughout the ages",1916,"not rated",197,"drama, history",8,NA,"the story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.","d.w. griffith","lillian gish, douglas fairbanks, mae marsh, robert harron",11677,NA
"2",2,"a daughter of the gods",1916,NA,180,"drama",7.1,NA,"a sultan agrees to help an wicked witch destroy a mysterious young lady, if the witch will bring his young son back from the dead with magic.","herbert brenon","annette kellerman, william e. shay, hal de forest, marcelle hontabat",24,NA
"3",3,"20,000 leagues under the sea",1916,"passed",105,"action, adventure, sci-fi",7,NA,"captain nemo has built a fantastic submarine for his mission of revenge. he has traveled over 20,000 leagues in search of charles denver - a man who caused the death of princess daaker. ...                see full summary »","stuart paton","allen holubar, dan hanlon, edna pendleton, curtis benton",1246,NA
"4",4,"friday the 13th",1916,NA,NA,NA,NA,NA,"when a judge is financially ruined by peter brownley, a wall street millionaire, his daughter seeks revenge by getting a job in the tycoon's office. she manages to discover information that...                see full summary »","emile chautard","robert warwick, clarence harvey, charles brandt, gerda holmes",39,NA
"5",5,"the blacklist",1916,NA,50,NA,NA,NA,"add a plot","william c. de mille",NA,NA,NA
"6",6,"where are my children?",1916,"approved",62,"drama",6.3,NA,"a district attorney's outspoken stand on abortion gets him in trouble with the local community.","phillips smalley, lois weber","tyrone power sr., mrs. tyrone power, marie walcamp, cora drew",360,NA
"7",7,"das phantom der oper",1916,NA,76,"drama",7.7,NA,"add a plot","ernst matray","nils olaf chrisander, aud egede-nissen, ernst matray",21,NA
"8",8,"sherlock holmes",1916,NA,116,"mystery",6.3,NA,"when a couple of swindlers hold young alice faulkner against her will in order to discover the whereabouts of letters which could spell scandal for the royal family, sherlock holmes is on the case.","arthur berthelet","william gillette, marjorie kay, ernest maupain, edward fielding",181,NA
"9",9,"joan the woman",1916,NA,138,"adventure, drama, history",6.5,NA,"a wwi english officer is inspired the night before a dangerous mission by a vision of joan of arc, whose story he relives.","cecil b. demille","geraldine farrar, raymond hatton, hobart bosworth, theodore roberts",386,NA
"10",10,"lovely mary",1916,NA,NA,NA,NA,NA,"mary lane and her cousin claiborne want to sell some land left to them by their family. real-estate agent roland manning falls in love with her, and prepares a deal that will make money for...                see full summary »","edgar jones",NA,NA,NA
"11",11,"judex",1916,NA,300,"adventure, crime",6.7,NA,"a twelve part serial following the adventures of the masked vigilante judex as he fights against criminals led by the corrupt banker favrauxom.","louis feuillade","rené cresté, musidora, rené poyen, édouard mathé",690,NA
"12",12,"the fall of a nation",1916,NA,NA,NA,NA,NA,"three acts and a prologue. act 1: a nation falls. act 2: the heel of the conqueror. act 3: the uprising two years later.","thomas dixon jr.","lorraine huling, percy standing, arthur shirley, flora macdonald",27,NA
"13",13,"the warrior",1916,NA,95,"action, drama, war",6,NA,"a soldier of near-superhuman strength fights battles in the first world war and wages a private war to rescue a young woman from the castle where she is imprisoned.","giovanni pastrone","bartolomeo pagano, fido schirru, valentina frascaroli, enrico gemelli",31,NA
"14",14,"the social secretary",1916,NA,52,"comedy, drama",6.5,NA,"add a plot","john emerson","norma talmadge, kate lester, helen weir, gladden james",479,NA
"15",15,"the end of the world",1916,NA,77,"drama, sci-fi",6.6,NA,"a comet, passing by earth, causes rioting, social unrest, and major disasters that destroy the world.","august blom","olaf fønss, carl lauritzen, ebba thomsen, johanne fritz-petersen",200,NA
