"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"se7en",1995,"r",127,"crime, drama, mystery",8.6,"65","two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","david fincher","morgan freeman, brad pitt, kevin spacey, andrew kevin walker",1143,NA
"2",2,"casper",1995,"pg",100,"comedy, family, fantasy",6,NA,"a paranormal expert and his daughter bunk in an abandoned house populated by three mischievous ghosts and one friendly one.","brad silberling","bill pullman, christina ricci, cathy moriarty, eric idle",95550,NA
"3",3,"the usual suspects",1995,"r",106,"crime, drama, mystery",8.6,"77","a sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","bryan singer","kevin spacey, gabriel byrne, chazz palminteri, stephen baldwin",819869,NA
"4",4,"halloween: the curse of michael myers",1995,"r",87,"horror, thriller",5,NA,"six years after michael myers last terrorized haddonfield, he returns there in pursuit of his niece, jamie lloyd, who has escaped with her newborn child, for which michael and a mysterious cult have sinister plans.","joe chappelle","donald pleasence, paul rudd, marianne hagan, mitchell ryan",23297,NA
"5",5,"heat",1995,"r",170,"action, crime, drama",8.2,"76","a group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist, while both sides attempt to find balance between their personal and their professional lives.","michael mann","al pacino, robert de niro, val kilmer, jon voight",473168,NA
"6",6,"braveheart",1995,"r",178,"biography, drama, history",8.4,"68","when his secret bride is executed for assaulting an english soldier who tried to rape her, sir william wallace begins a revolt against king edward i of england.","mel gibson","mel gibson, sophie marceau, patrick mcgoohan, angus macfadyen",812330,NA
"7",7,"clueless",1995,"pg-13",97,"comedy, romance",6.8,"68","a rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.","amy heckerling","alicia silverstone, stacey dash, brittany murphy, paul rudd",138122,NA
"8",8,"jumanji",1995,"pg",104,"action, adventure, family",6.9,"39","when two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.","joe johnston","robin williams, kirsten dunst, bonnie hunt, jonathan hyde",234162,NA
"9",9,"toy story",1995,"g",81,"animation, adventure, comedy",8.3,"95","a cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.","john lasseter","tom hanks, tim allen, don rickles, jim varney",699112,NA
"10",10,"twelve monkeys",1995,"r",129,"mystery, sci-fi, thriller",8,"74","in a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","terry gilliam","bruce willis, madeleine stowe, brad pitt, joseph melito",503230,NA
"11",11,"friday",1995,"r",91,"comedy, drama",7.3,"54","two homies, smokey and craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by 10 p.m. that same night.","f. gary gray","ice cube, chris tucker, nia long, tommy 'tiny' lister",82703,NA
