"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"the ring",2002,"pg-13",115,"horror, mystery",7.1,"57","a journalist must investigate a mysterious videotape which seems to cause the death of anyone in a week of viewing it.","gore verbinski","naomi watts, martin henderson, brian cox, david dorfman",277532,NA
"2",2,"the lord of the rings: the two towers",2002,"pg-13",179,"adventure, drama, fantasy",8.7,"88","while frodo and sam edge closer to mordor with the help of the shifty gollum, the divided fellowship makes a stand against sauron's new ally, saruman, and his hordes of isengard.","peter jackson","elijah wood, ian mckellen, viggo mortensen, orlando bloom",1213,NA
"3",3,"28 days later...",2002,"r",113,"drama, horror, sci-fi",7.6,"73","four weeks after a mysterious, incurable virus spreads throughout the uk, a handful of survivors try to find sanctuary.","danny boyle","cillian murphy, naomie harris, christopher eccleston, alex palmer",322082,NA
"4",4,"catch me if you can",2002,"pg-13",141,"biography, crime, drama",8.1,"76","the story of frank abagnale jr., before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a pan am pilot, a doctor, and legal prosecutor as a seasoned and dedicated fbi agent pursues him.","steven spielberg","leonardo dicaprio, tom hanks, christopher walken, martin sheen",617596,NA
"5",5,"harry potter and the chamber of secrets",2002,"pg",161,"adventure, family, fantasy",7.4,"63","harry ignores warnings not to return to hogwarts, only to find the school plagued by a series of mysterious attacks and a strange voice haunting him.","chris columbus","daniel radcliffe, rupert grint, emma watson, richard harris",435637,NA
"6",6,"city of god",2002,"r",130,"crime, drama",8.6,"79","two boys growing up in a violent neighborhood of rio de janeiro take different paths: one becomes a photographer, the other a drug dealer.","fernando meirelles, kátia lund","alexandre rodrigues, matheus nachtergaele, leandro firmino, phellipe haagensen",583907,NA
"7",7,"spider-man",2002,"pg-13",121,"action, adventure",7.3,"73","when bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","sam raimi","tobey maguire, kirsten dunst, willem dafoe, james franco",589616,NA
"8",8,"scooby-doo",2002,"pg",86,"animation, adventure, comedy",5,"35","after an acrimonious break up, the mystery inc. gang are individually brought to an island resort to investigate strange goings on.","raja gosnell","matthew lillard, freddie prinze jr., sarah michelle gellar, linda cardellini",78376,NA
"9",9,"gangs of new york",2002,"r",167,"crime, drama",7.5,"72","in 1863, amsterdam vallon returns to the five points area of new york city seeking revenge against bill the butcher, his father's killer.","martin scorsese","leonardo dicaprio, cameron diaz, daniel day-lewis, jim broadbent",342342,NA
"10",10,"halloween: resurrection",2002,"r",94,"comedy, horror, thriller",4.1,"19","three years after he last terrorized his sister, michael myers confronts her again, before traveling to haddonfield to deal with the cast and crew of a reality show which is being broadcast from his old home.","rick rosenthal","jamie lee curtis, busta rhymes, brad loree, bianca kajlich",29502,NA
"11",11,"the pianist",2002,"r",150,"biography, drama, music",8.5,"85","a polish jewish musician struggles to survive the destruction of the warsaw ghetto of world war ii.","roman polanski","adrien brody, thomas kretschmann, frank finlay, emilia fox",562938,NA
"12",12,"a walk to remember",2002,"pg",101,"drama, romance",7.4,"35","the story of two north carolina teens, landon carter and jamie sullivan, who are thrown together after landon gets into trouble and is made to do community service.","adam shankman","mandy moore, shane west, peter coyote, daryl hannah",175600,NA
"13",13,"irreversible",2002,"not rated",97,"crime, drama, mystery",7.4,"51","events over the course of one traumatic night in paris unfold in reverse-chronological order as the beautiful alex is brutally raped and beaten by a stranger in the underpass.","gaspar noé","monica bellucci, vincent cassel, albert dupontel, jo prestia",95792,NA
