"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"saw iii",2006,"r",108,"horror",6.2,"48","jigsaw kidnaps a doctor named to keep him alive while he watches his new apprentice put an unlucky citizen named jeff through a brutal test.","darren lynn bousman","tobin bell, shawnee smith, angus macfadyen, bahar soomekh",154273,NA
"2",2,"the departed",2006,"r",151,"crime, drama, thriller",8.5,"85","an undercover cop and a mole in the police attempt to identify each other while infiltrating an irish gang in south boston.","martin scorsese","leonardo dicaprio, matt damon, jack nicholson, mark wahlberg",968662,NA
"3",3,"the prestige",2006,"pg-13",130,"drama, mystery, sci-fi",8.5,"66","after a tragic accident two stage magicians engage in a battle to create the ultimate illusion whilst sacrificing everything they have to outwit the other.","christopher nolan","christian bale, hugh jackman, scarlett johansson, michael caine",951061,NA
"4",4,"pan's labyrinth",2006,"r",118,"drama, fantasy, war",8.2,"98","in the falangist spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","guillermo del toro","ivana baquero, ariadna gil, sergi lópez, maribel verdú",515306,NA
"5",5,"silent hill",2006,"r",125,"adventure, horror, mystery",6.6,"31","a woman, rose, goes in search for her adopted daughter within the confines of a strange, desolate town called silent hill.","christophe gans","radha mitchell, laurie holden, sean bean, deborah kara unger",190213,NA
"6",6,"300",2006,"r",117,"action, fantasy",7.7,"52","king leonidas of sparta and a force of 300 men fight the persians at thermopylae in 480 b.c.","zack snyder","gerard butler, lena headey, david wenham, dominic west",651333,NA
"7",7,"talladega nights: the ballad of ricky bobby",2006,"pg-13",108,"action, comedy, sport",6.6,"66","#1 nascar driver ricky bobby stays atop the heap thanks to a pact with his best friend and teammate, cal naughton, jr. but when a french formula one driver, makes his way up the ladder, ricky bobby's talent and devotion are put to the test.","adam mckay","will ferrell, john c. reilly, sacha baron cohen, gary cole",141035,NA
"8",8,"cars",2006,"g",117,"animation, comedy, family",7.1,"73","a hot-shot race-car named lightning mcqueen gets waylaid in radiator springs, where he finds the true meaning of friendship and family.","john lasseter, joe ranft","owen wilson, bonnie hunt, paul newman, larry the cable guy",293931,NA
"9",9,"monster house",2006,"pg",91,"animation, adventure, comedy",6.6,"68","three teens discover that their neighbor's house is really a living, breathing, scary monster.","gil kenan","mitchel musso, sam lerner, spencer locke, ryan newman",80345,NA
"10",10,"the hills have eyes",2006,"r",107,"horror",6.4,"52","a suburban american family is being stalked by a group of psychotic people who live in the desert, far away from civilization.","alexandre aja","ted levine, kathleen quinlan, dan byrd, emilie de ravin",139931,NA
"11",11,"the lives of others",2006,"r",137,"drama, thriller",8.5,"89","in 1984 east berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","florian henckel von donnersmarck","ulrich mühe, martina gedeck, sebastian koch, ulrich tukur",287886,NA
"12",12,"casino royale",2006,"pg-13",144,"action, adventure, thriller",8,"80","armed with a license to kill, secret agent james bond sets out on his first mission as 007, and must defeat a private banker to terrorists in a high stakes game of poker at casino royale, montenegro, but things are not what they seem.","martin campbell","daniel craig, eva green, judi dench, jeffrey wright",506177,NA
"13",13,"pirates of the caribbean: dead man's chest",2006,"pg-13",151,"action, adventure, fantasy",7.3,"53","jack sparrow races to recover the heart of davy jones to avoid enslaving his soul to jones' service, as other friends and foes seek the heart for their own agenda as well.","gore verbinski","johnny depp, orlando bloom, keira knightley, jack davenport",570673,NA
"14",14,"inside man",2006,"r",129,"crime, drama, mystery",7.6,"76","a police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.","spike lee","denzel washington, clive owen, jodie foster, christopher plummer",291847,NA
"15",15,"children of men",2006,"r",109,"drama, sci-fi, thriller",7.9,"84","in 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.","alfonso cuarón","julianne moore, clive owen, chiwetel ejiofor, michael caine",394144,NA
"16",16,"superman returns",2006,"pg-13",154,"action, adventure, sci-fi",6.1,"72","superman reappears after a long absence, but is challenged by an old foe who uses kryptonian technology for world domination.","bryan singer","brandon routh, kevin spacey, kate bosworth, james marsden",250308,NA
"17",17,"apocalypto",2006,"r",139,"action, adventure, drama",7.8,"68","as the mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.","mel gibson","gerardo taracena, raoul max trujillo, dalia hernández, rudy youngblood",253653,NA
"18",18,"the texas chainsaw massacre: the beginning",2006,"r",91,"horror",5.9,"30","before being sent to serve in vietnam, two brothers and their girlfriends take one last road trip, but when they get into an accident, a terrifying experience will take them to a secluded house of horrors, with a chainsaw-wielding killer.","jonathan liebesman","jordana brewster, matt bomer, diora baird, taylor handley",60279,NA
"19",19,"the pursuit of happyness",2006,"pg-13",117,"biography, drama",8,"64","a struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.","gabriele muccino","will smith, thandie newton, jaden smith, brian howe",371741,NA
"20",20,"the devil wears prada",2006,"pg-13",109,"comedy, drama",6.8,"62","a smart but sensible new graduate lands a job as an assistant to miranda priestly, the demanding editor-in-chief of a high fashion magazine.","david frankel","anne hathaway, meryl streep, adrian grenier, emily blunt",310064,NA
"21",21,"little miss sunshine",2006,"r",101,"comedy, drama",7.8,"80","a family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their vw bus.","jonathan dayton, valerie faris","steve carell, toni collette, greg kinnear, abigail breslin",382789,NA
"22",22,"the holiday",2006,"pg-13",138,"comedy, romance",6.9,"52","two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.","nancy meyers","kate winslet, cameron diaz, jude law, jack black",198887,NA
"23",23,"blood diamond",2006,"r",143,"adventure, drama, thriller",8,"64","a fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.","edward zwick","leonardo dicaprio, djimon hounsou, jennifer connelly, kagiso kuypers",432260,NA
"24",24,"x-men: the last stand",2006,"pg-13",104,"action, adventure, fantasy",6.7,"58","an all-out war looms when the discovery of a cure for mutations draws a line between the followers of charles xavier and those of magneto.","brett ratner","patrick stewart, hugh jackman, halle berry, famke janssen",417437,NA
"25",25,"the fast and the furious: tokyo drift",2006,"pg-13",104,"action, crime, thriller",6,"45","a teenager becomes a major competitor in the world of drift racing after moving in with his father in tokyo to avoid a jail sentence in america.","justin lin","lucas black, zachery ty bryan, shad moss, damien marzette",200245,NA
"26",26,"she's the man",2006,"pg-13",105,"comedy, romance, sport",6.4,"45","when her brother decides to ditch for a couple weeks, viola heads over to his elite boarding school, disguised as him, and proceeds to fall for one of his soccer teammates, and soon learns she's not the only one with romantic troubles.","andy fickman","amanda bynes, laura ramsey, channing tatum, vinnie jones",126292,NA
"27",27,"perfume: the story of a murderer",2006,"r",147,"crime, drama, fantasy",7.5,"56","jean-baptiste grenouille, born with a superior olfactory sense, creates the world's finest perfume. his work, however, takes a dark turn as he searches for the ultimate scent.","tom tykwer","ben whishaw, dustin hoffman, alan rickman, francesc albiol",204122,NA
"28",28,"the covenant",2006,"pg-13",97,"action, fantasy, horror",5.3,"19","four young men who belong to a new england supernatural legacy are forced to battle a fifth power long thought to have died out. meanwhile, jealousy and suspicion threaten to tear them apart.","renny harlin","steven strait, sebastian stan, toby hemingway, taylor kitsch",41669,NA
"29",29,"a good year",2006,"pg-13",117,"comedy, drama, romance",6.9,"47","a british investment broker inherits his uncle's chateau and vineyard in provence, where he spent much of his childhood. he discovers a new laid-back lifestyle as he tries to renovate the estate to be sold.","ridley scott","russell crowe, abbie cornish, albert finney, marion cotillard",76729,NA
"30",30,"idiocracy",2006,"r",84,"adventure, comedy, sci-fi",6.6,"66","private joe bauers, the definition of ""average american"", is selected by the pentagon to be the guinea pig for a top-secret hibernation program. forgotten, he awakes five centuries in the future. he discovers a society so incredibly dumbed down that he's easily the most intelligent person alive.","mike judge","luke wilson, maya rudolph, dax shepard, terry crews",118913,NA
"31",31,"the fountain",2006,"pg-13",96,"drama, sci-fi",7.3,"51","as a modern-day scientist, tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, izzi.","darren aronofsky","hugh jackman, rachel weisz, sean patrick thomas, ellen burstyn",204313,NA
"32",32,"stick it",2006,"pg-13",103,"comedy, drama, sport",6.4,"53","after a run-in with the law, haley graham (missy peregrym) is forced to return to the world from which she fled some years ago. enrolled in an elite gymnastics program run by the legendary burt vickerman (jeff bridges), haley's rebellious attitude gives way to something that just might be called team spirit.","jessica bendinger","missy peregrym, jeff bridges, vanessa lengies, nikki soohoo",23919,NA
