"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"the fairylogue and radio-plays",1908,NA,120,"fantasy, adventure",6.1,NA,"l. frank baum would appear in a white suit and present his live actors, slide shows and films as a live travelogue presentation of his popular fantasies. highlights include dorothy being ...                see full summary »","francis boggs, otis turner","l. frank baum, frank burns, george e. wilson, wallace illington",24,NA
"2",2,"l'uomo dalla testa dura",1908,NA,NA,NA,NA,NA,"add a plot","edoardo bencivenga",NA,NA,NA
"3",3,"don quijote",1908,NA,NA,NA,NA,NA,"a self-proclaimed ""knight"" and his hapless squire travel the spanish countryside, attacking ""giants"" that are really windmills in his attempt to win the love of the fair dulcinea.",NA,NA,7,NA
"4",4,"le devoir",1908,NA,NA,NA,NA,NA,"add a plot","louis feuillade",NA,NA,NA
"5",5,"the reg girl",1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"donnerwetter, tadellos",1908,NA,NA,NA,NA,NA,NA,NA,"henry bender, fritzi massary",16,NA
"7",7,"gans-nelson fight",1908,NA,NA,NA,NA,NA,NA,NA,"joe gans, battling nelson",9,NA
"8",8,"i promessi sposi",1908,NA,NA,NA,NA,NA,"add a plot",NA,NA,6,NA
"9",9,"os guaranis",1908,NA,NA,NA,NA,NA,"add a plot","benjamin oliveira","inez grizeta, benjamin oliveira",8,NA
"10",10,"trallala lied",1908,NA,NA,NA,NA,NA,NA,NA,"fritzi massary",5,NA
"11",11,"el pastorcito de torrente",1908,NA,NA,NA,NA,NA,"add a plot",NA,NA,6,NA
"12",12,"taikoki judanme",1908,NA,NA,NA,NA,NA,NA,NA,"sakiji ichikawa, kasen nakamura, utae nakamura",6,NA
"13",13,"resa stockholm-göteborg genom göta och trollhätte kanaler",1908,NA,NA,NA,NA,NA,"add a plot",NA,NA,7,NA
"14",14,"la glu",1908,NA,NA,NA,NA,NA,"add a plot",NA,NA,5,NA
"15",15,"los carreros",1908,NA,NA,NA,NA,NA,"add a plot",NA,NA,7,NA
"16",16,"don álvaro o la fuerza del sino",1908,NA,NA,NA,NA,NA,"add a plot","narciso cuyàs","jaime borrás, joaquín carrasco",6,NA
"17",17,"cuisine magnétique",1908,NA,NA,NA,NA,NA,"add a plot",NA,NA,12,NA
"18",18,"soga kyodai kariba no akebono",1908,NA,NA,NA,NA,NA,"add a plot","shokichi umeya",NA,NA,NA
"19",19,"poum à la chasse",1908,NA,NA,NA,NA,NA,"add a plot","rené le somptier",NA,NA,NA
"20",20,"hiawatha",1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"hamlet",1908,NA,NA,NA,NA,NA,"hamlet suspects his uncle has murdered his father to claim the throne of denmark and the hand of hamlet's mother, but the prince cannot decide whether or not he should take vengeance.","mario caserini","fernanda negri pouget",7,NA
