"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"the dark knight",2008,"pg-13",152,"action, crime, drama",9,"82","when the menace known as the joker emerges from his mysterious past, he wreaks havoc and chaos on the people of gotham, the dark knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.","christopher nolan","christian bale, heath ledger, aaron eckhart, michael caine",1850,NA
"2",2,"saw v",2008,"r",92,"horror, mystery",5.8,"20","following jigsaw's grisly demise, mark hoffman is commended as a hero, but agent strahm is suspicious, and delves into hoffman's past. meanwhile, another group of people are put through a series of gruesome tests.","david hackl","scott patterson, costas mandylor, tobin bell, betsy russell",97277,NA
"3",3,"twilight",2008,"pg-13",122,"drama, fantasy, romance",5.2,"56","a teenage girl risks everything when she falls in love with a vampire.","catherine hardwicke","kristen stewart, robert pattinson, billy burke, sarah clarke",368076,NA
"4",4,"iron man",2008,"pg-13",126,"action, adventure, sci-fi",7.9,"79","after being held captive in an afghan cave, billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil.","jon favreau","robert downey jr., gwyneth paltrow, terrence howard, jeff bridges",760284,NA
"5",5,"the strangers",2008,"r",86,"horror, mystery, thriller",6.2,"47","a young couple staying in an isolated vacation home are terrorized by three unknown assailants.","bryan bertino","scott speedman, liv tyler, gemma ward, alex fisher",99561,NA
"6",6,"wanted",2008,"r",110,"action, crime, fantasy",6.7,"64","a frustrated office worker learns that he is the son of a professional assassin and that he shares his father's superhuman killing abilities.","timur bekmambetov","angelina jolie, james mcavoy, morgan freeman, terence stamp",319009,NA
"7",7,"the incredible hulk",2008,"pg-13",112,"action, adventure, sci-fi",6.8,"61","bruce banner, a scientist on the run from the u.s. government, must find a cure for the monster he turns into, whenever he loses his temper.","louis leterrier","edward norton, liv tyler, tim roth, william hurt",352628,NA
"8",8,"the curious case of benjamin button",2008,"pg-13",166,"drama, fantasy, romance",7.8,"70","tells the story of benjamin button, a man who starts aging backwards with bizarre consequences.","david fincher","brad pitt, cate blanchett, tilda swinton, julia ormond",498823,NA
"9",9,"quantum of solace",2008,"pg-13",106,"action, adventure, thriller",6.6,"58","james bond descends into mystery as he tries to stop a mysterious organization from eliminating a country's most valuable resource.","marc forster","daniel craig, olga kurylenko, mathieu amalric, judi dench",355324,NA
"10",10,"hellboy ii: the golden army",2008,"pg-13",120,"action, adventure, fantasy",7,"78","the mythical world starts a rebellion against humanity in order to rule the earth, so hellboy and his team must save the world from the rebellious creatures.","guillermo del toro","ron perlman, selma blair, doug jones, john alexander",222311,NA
