"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"breakfast at tiffany's",1961,"not rated",115,"comedy, drama, romance",7.7,"76","a young new york socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.","blake edwards","audrey hepburn, george peppard, patricia neal, buddy ebsen",136639,NA
"2",2,"west side story",1961,"unrated",153,"crime, drama, musical",7.6,NA,"two youngsters from rival new york city gangs fall in love, but tensions between their respective friends build toward tragedy.","jerome robbins, robert wise","natalie wood, george chakiris, richard beymer, russ tamblyn",78876,NA
"3",3,"101 dalmatians",1961,"g",79,"animation, adventure, comedy",7.2,NA,"when a litter of dalmatian puppies are abducted by the minions of cruella de vil, the parents must find them before she uses them for a diabolical fashion statement.","clyde geronimi, hamilton luske, wolfgang reitherman","rod taylor, betty lou gerson, j. pat o'malley, martha wentworth",124054,NA
"4",4,"the parent trap",1961,"approved",129,"comedy, family, romance",7.1,NA,"teenage twin sisters swap places and scheme to reunite their divorced parents.","david swift","hayley mills, maureen o'hara, brian keith, charles ruggles",15571,NA
"5",5,"the innocents",1961,"not rated",100,"horror",7.9,NA,"a young governess for two children becomes convinced that the house and grounds are haunted.","jack clayton","deborah kerr, peter wyngarde, megs jenkins, michael redgrave",21385,NA
"6",6,"judgment at nuremberg",1961,"not rated",186,"drama, war",8.3,NA,"in 1948, an american court in occupied germany tries four nazi judges for war crimes.","stanley kramer","spencer tracy, burt lancaster, richard widmark, marlene dietrich",51224,NA
"7",7,"the guns of navarone",1961,NA,158,"action, adventure, drama",7.6,NA,"a british team is sent to cross occupied greek territory and destroy the massive german gun emplacement that commands a key sea channel.","j. lee thompson","david niven, gregory peck, anthony quinn, anthony quayle",38735,NA
"8",8,"yojimbo",1961,"not rated",110,"action, drama, thriller",8.3,NA,"a crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.","akira kurosawa","toshirô mifune, eijirô tôno, tatsuya nakadai, yôko tsukasa",82981,NA
"9",9,"the hustler",1961,"approved",134,"drama, sport",8,NA,"an up-and-coming pool player plays a long-time champion in a single high-stakes match.","robert rossen","paul newman, jackie gleason, piper laurie, george c. scott",66626,NA
"10",10,"the misfits",1961,"approved",125,"drama, romance, western",7.4,NA,"a divorcee falls for an over-the-hill cowboy who is struggling to maintain his romantically independent lifestyle.","john huston","clark gable, marilyn monroe, montgomery clift, thelma ritter",14165,NA
"11",11,"pit and the pendulum",1961,"approved",80,"drama, horror, mystery",7.1,NA,"in the sixteenth century, francis barnard travels to spain to clarify the strange circumstances of his sister's death after she had married the son of a cruel spanish inquisitor.","roger corman","vincent price, barbara steele, john kerr, luana anders",10053,NA
"12",12,"mr. sardonicus",1961,"approved",89,"drama, horror, mystery",6.7,NA,"a search for a winning lottery ticket in his dead father's grave causes sardonicus' face to freeze in a horrible grimace, until he forces a doctor to treat his affliction--with even more ...                see full summary »","william castle","ronald lewis, audrey dalton, guy rolfe, oskar homolka",1864,NA
"13",13,"splendor in the grass",1961,"unrated",124,"drama, romance",7.8,NA,"a fragile kansas girl's love for a handsome young man from the town's most powerful family drives her to heartbreak and madness.","elia kazan","natalie wood, warren beatty, pat hingle, audrey christie",14669,NA
"14",14,"the curse of the werewolf",1961,"approved",93,"horror",6.8,NA,"in spain, leon is born on christmas day to a mute servant girl who was raped by a beggar. his mother dies giving birth and he is looked after by don alfredo. as a child leon becomes a ...                see full summary »","terence fisher","clifford evans, oliver reed, yvonne romain, catherine feller",4103,NA
"15",15,"one-eyed jacks",1961,"not rated",141,"western",7.2,NA,"after robbing a mexican bank, dad longworth takes the loot and leaves his partner rio to be captured but rio escapes and searches for dad in california.","marlon brando","marlon brando, karl malden, pina pellicer, katy jurado",7679,NA
"16",16,"el cid",1961,"approved",182,"adventure, biography, drama",7.3,NA,"the fabled spanish hero rodrigo diaz (a.k.a. el cid) overcomes a family vendetta and court intrigue to defend christian spain against the moors.","anthony mann","charlton heston, sophia loren, raf vallone, geneviève page",10637,NA
"17",17,"blue hawaii",1961,"pg",102,"comedy, musical",6.1,NA,"after arriving back in hawaii from the army, chad gates defies his parents' wishes for him to work at the family business and instead goes to work as a tour guide at his girlfriend's agency.","norman taurog","elvis presley, joan blackman, angela lansbury, nancy walters",4353,NA
"18",18,"the children's hour",1961,"not rated",108,"drama, romance",7.8,NA,"a troublemaking student at a girls' school accuses two teachers of being lesbians.","william wyler","audrey hepburn, shirley maclaine, james garner, miriam hopkins",11590,NA
"19",19,"la notte",1961,"not rated",122,"drama",8,NA,"a day in the life of an unfaithful married couple and their steadily deteriorating relationship.","michelangelo antonioni","jeanne moreau, marcello mastroianni, monica vitti, bernhard wicki",13105,NA
"20",20,"mysterious island",1961,"approved",101,"adventure, family, fantasy",6.8,NA,"during the civil war a group of union soldiers and two confederates escape the stockade using a hot air balloon and end up on a strange pacific island.","cy endfield","michael craig, joan greenwood, michael callan, gary merrill",5133,NA
"21",21,"one, two, three",1961,"unrated",115,"comedy",8,NA,"in west berlin during the cold war, a coca-cola executive is given the task of taking care of his boss' socialite daughter.","billy wilder","james cagney, horst buchholz, pamela tiffin, arlene francis",16222,NA
"22",22,"babes in toyland",1961,"approved",106,"comedy, family, fantasy",6.3,NA,"tom the piper's son is about to marry mary quite contrary. on the eve of their wedding, evil miser barnaby hires two henchmen to drown tom and steal mary's sheep, cared for by little bo ...                see full summary »","jack donohue","ray bolger, tommy sands, annette funicello, ed wynn",2716,NA
"23",23,"last year at marienbad",1961,"not rated",94,"drama, mystery",7.9,NA,"in a strange and isolated chateau, a man becomes acquainted with a woman and insists that they have met before.","alain resnais","delphine seyrig, giorgio albertazzi, sacha pitoëff, françoise bertin",15894,NA
"24",24,"a raisin in the sun",1961,"approved",128,"drama",8.1,NA,"a substantial insurance payment could mean either financial salvation or personal ruin for a poor black family.","daniel petrie","sidney poitier, claudia mcneil, ruby dee, diana sands",5436,NA
"25",25,"posse from hell",1961,"approved",88,"western",6.7,NA,"banner cole is a tough sheriff's deputy who forms a small posse to go after 4 death cell escapees who killed the sheriff , along with 3 other men, and kidnapped a woman with rape in mind.","herbert coleman","audie murphy, john saxon, zohra lampert, vic morrow",526,NA
"26",26,"divorce italian style",1961,"not rated",105,"comedy, drama, romance",8.2,NA,"a married sicilian baron falls in love with his cousin and vows to wed her, but with divorce illegal he must concoct a crime of passion to do away with his wife.","pietro germi","marcello mastroianni, daniela rocca, stefania sandrelli, leopoldo trieste",9131,NA
"27",27,"the comancheros",1961,"approved",107,"action, western, adventure",6.9,NA,"texas ranger jake cutter arrests gambler paul regret, but soon finds himself teamed with his prisoner in an undercover effort to defeat a band of renegade arms merchants and thieves known as comancheros.","michael curtiz, john wayne","john wayne, stuart whitman, ina balin, nehemiah persoff",6588,NA
"28",28,"through a glass darkly",1961,"not rated",89,"drama",8.1,NA,"recently released from a mental hospital; karin rejoins her emotionally disconnected family and their island home, only to slip from reality as she begins to believe she is being visited by god.","ingmar bergman","harriet andersson, gunnar björnstrand, max von sydow, lars passgård",17117,NA
"29",29,"a taste of honey",1961,"not rated",101,"drama",7.6,NA,"a pregnant teenage girl must fend for herself when her mother remarries, leaving the girl with only a new male friend for support.","tony richardson","rita tushingham, dora bryan, robert stephens, murray melvin",3607,NA
"30",30,"the absent minded professor",1961,"approved",92,"comedy, family, sci-fi",6.8,NA,"a college professor invents an anti-gravity substance which a corrupt businessman wants for himself.","robert stevenson","fred macmurray, nancy olson, keenan wynn, tommy kirk",5886,NA
"31",31,"king of kings",1961,"pg-13",168,"biography, drama, history",7.1,NA,"the temporary physical life of everyone's savior, jesus christ.","nicholas ray","jeffrey hunter, siobhan mckenna, hurd hatfield, ron randell",5422,NA
"32",32,"the young savages",1961,"not rated",103,"action, crime, drama",6.9,NA,"a district attorney investigates the racially charged case of three teenagers accused of the murder of a blind puerto rican boy. he begins to discover that the facts in the case aren't ...                see full summary »","john frankenheimer","burt lancaster, dina merrill, edward andrews, vivian nathan",1606,NA
"33",33,"voyage to the bottom of the sea",1961,"pg",105,"action, adventure, sci-fi",6.1,NA,"when the earth is threatened by a burning van allen radiation belt, us navy admiral harriman nelson plans to shoot a nuclear missile at the belt using his experimental atomic submarine, the seaview.","irwin allen","walter pidgeon, joan fontaine, barbara eden, peter lorre",4684,NA
"34",34,"pocketful of miracles",1961,"approved",136,"comedy, drama",7.3,NA,"a new york gangster and his girlfriend attempt to turn street beggar apple annie into a society lady when the peddler learns her daughter is marrying royalty.","frank capra","glenn ford, bette davis, hope lange, arthur o'connell",4781,NA
"35",35,"a woman is a woman",1961,"not rated",84,"comedy, drama, romance",7.6,"71","a french striptease artist is desperate to become a mother. when her reluctant boyfriend suggests his best friend to impregnate her, feelings become complicated when she accepts.","jean-luc godard","anna karina, jean-claude brialy, jean-paul belmondo, henri attal",11734,NA
"36",36,"the roman spring of mrs. stone",1961,"approved",103,"drama, romance",6.6,NA,"an aging actress travels to rome with her husband; after he suddenly dies during the flight, she begins a passionate affair with a young gigolo.","josé quintero","vivien leigh, warren beatty, coral browne, jill st. john",1978,NA
"37",37,"two rode together",1961,"approved",109,"western",6.8,NA,"a corrupt marshal is pressured by his army friend into negotiating the release of white captives of the comanches, but finds that their reintegration into society has its consequences.","john ford","james stewart, richard widmark, shirley jones, linda cristal",4195,NA
"38",38,"paris blues",1961,"approved",98,"drama, music, romance",6.7,NA,"during the 1960s, two american ex-pat jazz musicians living in paris meet and fall in-love with two american tourist girls.","martin ritt","paul newman, joanne woodward, sidney poitier, louis armstrong",1960,NA
"39",39,"the ladies man",1961,NA,95,"comedy",6.5,NA,"after his girl leaves him for someone else, herbert gets really depressed and starts searching for a job. he finally finds one in a big house which is inhabited by many, many women. can he ...                see full summary »","jerry lewis","jerry lewis, helen traubel, pat stanley, kathleen freeman",2799,NA
"40",40,"murder she said",1961,"unrated",87,"comedy, crime, drama",7.4,NA,"when miss marple reports witnessing a murder through the window of a passing train, the police dismiss her as a dotty spinster when no trace of the crime can be found.","george pollock","margaret rutherford, arthur kennedy, muriel pavlow, james robertson justice",4755,NA
"41",41,"come september",1961,"approved",112,"comedy, romance",7.1,NA,"younger generation vs. ""older"" folks on vacation at an italian villa.","robert mulligan","rock hudson, gina lollobrigida, sandra dee, bobby darin",2585,NA
