"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"soldiers of the cross",1900,NA,NA,NA,NA,NA,"the plot outlined the story of the early christian martyrs with a compendium of horrors guaranteed to jolt audiences into an awareness of terrible suffering for the sake of christianity. ...                see full summary »","herbert booth, joseph perry","beatrice day, harold graham, mr. graham, john jones",32,NA
"2",2,"buffalo bill's wild west parade",1900,NA,NA,NA,NA,NA,NA,NA,NA,28,NA
"3",3,"x rays",1900,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
"4",4,"may day parade",1900,"pg-13",66,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"phono-cinéma-théâtre",1900,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"6",6,"caught",1900,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"7",7,"after dark in central park",1900,NA,NA,NA,NA,NA,NA,NA,NA,26,NA
"8",8,"boarding school girls' pajama parade",1900,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"9",9,"family troubles",1900,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"10",10,"the tribulations of an amateur photographer",1900,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"11",11,"trouble in hogan's alley",1900,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"12",12,"pierrot's problem, or how to make a fat wife out of two lean ones",1900,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
