"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"the haunting",1963,"approved",112,"horror",7.6,"74","a scientist doing research on the paranormal invites two women to a haunted mansion. one of the participants soon starts losing her mind.","robert wise","julie harris, claire bloom, richard johnson, russ tamblyn",28643,NA
"2",2,"the birds",1963,"pg-13",119,"drama, horror, mystery",7.7,"87","a wealthy san francisco socialite pursues a potential boyfriend to a small northern california town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.","alfred hitchcock","rod taylor, tippi hedren, jessica tandy, suzanne pleshette",141707,NA
"3",3,"the great escape",1963,"not rated",172,"adventure, drama, history",8.2,NA,"allied prisoners of war plan for several hundred of their number to escape from a german camp during world war ii.","john sturges","steve mcqueen, james garner, richard attenborough, charles bronson",182880,NA
"4",4,"ieri oggi domani",1963,"not rated",119,"comedy, romance",7.3,NA,"stories about three very different women and the men they attract.","vittorio de sica","sophia loren, marcello mastroianni, aldo giuffrè, agostino salvietti",5699,NA
"5",5,"it's a mad mad mad mad world",1963,"approved",205,"action, adventure, comedy",7.6,NA,"the dying words of a thief spark a madcap cross-country rush to find some treasure.","stanley kramer","spencer tracy, milton berle, ethel merman, mickey rooney",31705,NA
"6",6,"from russia with love",1963,"pg",115,"action, adventure, thriller",7.5,"85","james bond willingly falls into an assassination ploy involving a naive russian beauty in order to retrieve a soviet encryption device that was stolen by spectre.","terence young","sean connery, robert shaw, lotte lenya, daniela bianchi",96978,NA
"7",7,"mclintock!",1963,"approved",127,"comedy, romance, western",7.3,NA,"wealthy rancher g.w. mclintock uses his power and influence in the territory to keep the peace between farmers, ranchers, land-grabbers, indians and corrupt government officials.","andrew v. mclaglen","john wayne, maureen o'hara, patrick wayne, stefanie powers",10159,NA
"8",8,"cleopatra",1963,"g",192,"biography, drama, history",7,"60","queen cleopatra of egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of rome.","joseph l. mankiewicz","elizabeth taylor, richard burton, rex harrison, pamela brown",23904,NA
"9",9,"8½",1963,"not rated",138,"drama",8.1,NA,"a harried movie retreats into his memories and fantasies.","federico fellini","marcello mastroianni, anouk aimée, claudia cardinale, sandra milo",87388,NA
"10",10,"the pink panther",1963,"approved",115,"comedy, crime, romance",7.2,NA,"inspector clouseau travels to rome to catch a notorious jewel thief known as ""the phantom"" before he conducts his most daring heist yet--a princess' priceless diamond with one slight imperfection, known as ""the pink panther.""","blake edwards","david niven, peter sellers, robert wagner, capucine",41183,NA
"11",11,"dementia 13",1963,"unrated",75,"horror, thriller",5.7,NA,"a scheming widow hatches a daring plan to get her hands on her late husband's inheritance, unbeknownst to her that she is targeted by an axe-wielding murderer who lurks within the family's estate.","francis ford coppola","william campbell, luana anders, bart patton, mary mitchel",5669,NA
"12",12,"the old dark house",1963,"approved",86,"comedy, horror, mystery",5.4,NA,"an american who sells cars in england receives a mysterious invitation from an old, eccentric millionaire to visit his house in which he lives with his twin brother.","william castle","tom poston, robert morley, janette scott, joyce grenfell",1063,NA
"13",13,"jason and the argonauts",1963,"approved",104,"adventure, family, fantasy",7.4,NA,"the legendary greek hero leads a team of intrepid adventurers in a perilous quest for the legendary golden fleece.","don chaffey","todd armstrong, nancy kovack, gary raymond, laurence naismith",18945,NA
"14",14,"the sword in the stone",1963,"g",79,"animation, adventure, comedy",7.2,"70","a poor boy named arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called merlin in the path to become one of the most beloved kings in english history.","wolfgang reitherman","rickie sorensen, sebastian cabot, karl swenson, junius matthews",72209,NA
"15",15,"charade",1963,"not rated",113,"comedy, mystery, romance",8,NA,"romance and suspense ensue in paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. who can she trust?","stanley donen","cary grant, audrey hepburn, walter matthau, james coburn",54276,NA
"16",16,"donovan's reef",1963,"not rated",109,"adventure, comedy, romance",6.9,NA,"comedy subtly dealing with moral issues such as racial bigotry, corporate greed, american belief of societal superiority and hypocrisy.","john ford","john wayne, lee marvin, elizabeth allen, jack warden",6363,NA
"17",17,"lord of the flies",1963,"not rated",92,"adventure, drama, thriller",7,NA,"lost on an island, young survivors of a plane crash eventually revert to savagery despite the few rational boys' attempts to prevent that.","peter brook","james aubrey, tom chapin, hugh edwards, roger elwin",14698,NA
"18",18,"the leopard",1963,"approved",186,"drama, history",8.1,"100","the prince of salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860's sicily.","luchino visconti","burt lancaster, alain delon, claudia cardinale, paolo stoppa",18027,NA
"19",19,"the comedy of terrors",1963,"approved",84,"comedy, horror",6.8,NA,"dishonest undertaker waldo trumbull and his sidekick felix gillie are creating their own customers when they cannot find willing ones.","jacques tourneur","vincent price, peter lorre, boris karloff, joyce jameson",3825,NA
"20",20,"contempt",1963,"not rated",102,"drama",7.7,NA,"screenwriter paul javal's marriage to his wife camille disintegrates during movie production as she spends time with the producer. layered conflicts between art and business ensue.","jean-luc godard","brigitte bardot, jack palance, michel piccoli, giorgia moll",22193,NA
"21",21,"the haunted palace",1963,"approved",87,"horror",6.8,NA,"charles dexter ward arrives at a small village to visit the house he inherited from his ancestor who died there 100 years ago.","roger corman","vincent price, debra paget, lon chaney jr., frank maxwell",4606,NA
"22",22,"the raven",1963,"approved",86,"comedy, fantasy, horror",6.7,NA,"a magician, who has been turned into a raven, turns to a former sorcerer for help.","roger corman","vincent price, peter lorre, boris karloff, hazel court",8365,NA
"23",23,"bye bye birdie",1963,"approved",112,"comedy, musical",6.6,NA,"a rock singer travels to a small ohio town to make his ""farewell"" television performance and kiss his biggest fan before he is drafted.","george sidney","dick van dyke, ann-margret, janet leigh, maureen stapleton",6171,NA
"24",24,"the day of the triffids",1963,"approved",93,"horror, sci-fi",6.1,NA,"after an unusual meteor shower leaves most of the human population blind, a merchant navy officer must find a way to conquer tall, aggressive plants which are feeding on people and animals.","steve sekely, freddie francis","nicole maurey, howard keel, janette scott, kieron moore",6042,NA
"25",25,"black sabbath",1963,"unrated",92,"horror",7.2,NA,"boris karloff hosts a trio of horror stories concerning a stalked call girl, a patriarch who has become a vampire-like monster, and a nurse who is haunted by her ring's rightful owner.","mario bava","michèle mercier, lidia alfonsi, boris karloff, mark damon",7969,NA
"26",26,"a place to go",1963,NA,86,"crime, drama",6.7,NA,"amidst the pub sing-songs and bombsites and with slums giving way to high-rise flats, life in bethnal green is changing for the flints. dad may decide to quit the docks and their daughter ...                see full summary »","basil dearden","rita tushingham, michael sarne, bernard lee, doris hare",120,NA
"27",27,"hud",1963,"approved",112,"drama",7.9,NA,"honest and hard-working texas rancher homer bannon has a conflict with his unscrupulous, selfish, arrogant and egotistical son hud, who sank into alcoholism after accidentally killing his brother in a car crash.","martin ritt","paul newman, melvyn douglas, patricia neal, brandon de wilde",16363,NA
"28",28,"irma la douce",1963,"unrated",147,"comedy, romance",7.4,NA,"in paris, a former policeman falls in love with a prostitute, and tries to get her out of that life by paying for all of her time.","billy wilder","jack lemmon, shirley maclaine, lou jacobi, bruce yarnell",13796,NA
"29",29,"tom jones",1963,"unrated",128,"adventure, comedy, history",6.7,NA,"the romantic and chivalrous adventures of adopted bastard tom jones in 18th century england.","tony richardson","albert finney, susannah york, george devine, rachel kempson",9203,NA
"30",30,"the nutty professor",1963,"approved",107,"comedy, romance, sci-fi",6.7,NA,"to improve his social life, a nerdish professor drinks a potion that temporarily turns him into the handsome, but obnoxious, buddy love.","jerry lewis","jerry lewis, stella stevens, del moore, kathleen freeman",13211,NA
"31",31,"x: the man with the x-ray eyes",1963,"not rated",79,"horror, sci-fi, thriller",6.7,NA,"a doctor uses special eye drops to give himself x-ray vision, but the new power has disastrous consequences.","roger corman","ray milland, diana van der vlis, harold j. stone, john hoyt",4865,NA
"32",32,"the terror",1963,"pg",81,"horror, thriller",5,NA,"a young officer in napoleon's army pursues a mysterious woman to the castle of an elderly baron.","roger corman, francis ford coppola, jack hale, monte hellman, jack hill, dennis jakob, jack nicholson","boris karloff, jack nicholson, sandra knight, dick miller",5684,NA
"33",33,"the kiss of the vampire",1963,"unrated",88,"horror",6.4,NA,"when car trouble strands a honeymooning couple in a small southern european village, an aristocratic family in the area reaches out to help them with sinister consequences.","don sharp","clifford evans, edward de souza, noel willman, jennifer daniel",2054,NA
"34",34,"twice-told tales",1963,"approved",120,"horror, mystery, romance",6.8,NA,"three horror stories based on the writings of nathaniel hawthorne. in the first story titled ""dr. heidegger's experiment"", heidegger attempts to restore the youth of himself, his fiancee ...                see full summary »","sidney salkow","vincent price, sebastian cabot, brett halsey, beverly garland",1937,NA
"35",35,"the silence",1963,"r",96,"drama",8,NA,"two estranged sisters, ester and anna, and anna's 10-year-old son travel to the central european country on the verge of war. ester becomes seriously ill and the three of them move into a hotel in a small town called timoka.","ingmar bergman","ingrid thulin, gunnel lindblom, birger malmsten, håkan jahnberg",13533,NA
"36",36,"the servant",1963,"unrated",116,"drama, romance",8,"93","an upper-class man hires a servant who turns out to have a hidden agenda.","joseph losey","dirk bogarde, sarah miles, wendy craig, james fox",6981,NA
