"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"adventures in babysitting",1987,"pg-13",102,"action, adventure, comedy",6.9,"45","a babysitter must battle her way through the big city after being stranded there with the kids she's looking after.","chris columbus","elisabeth shue, maia brewton, keith coogan, anthony rapp",31054,NA
"2",2,"the lost boys",1987,"r",97,"comedy, horror",7.3,"63","after moving to a new town, two brothers discover that the area is a haven for vampires.","joel schumacher","jason patric, corey haim, dianne wiest, barnard hughes",101382,NA
"3",3,"the princess bride",1987,"pg",98,"adventure, family, fantasy",8.1,"77","while home sick in bed, a young boy's grandfather reads him a story called the princess bride.","rob reiner","cary elwes, mandy patinkin, robin wright, chris sarandon",323202,NA
"4",4,"hellraiser",1987,"r",94,"horror, thriller",7,NA,"an unfaithful wife encounters the zombie of her dead lover; the demonic cenobites are pursuing him after he escaped their sadomasochistic underworld.","clive barker","andrew robinson, clare higgins, ashley laurence, sean chapman",84250,NA
"5",5,"full metal jacket",1987,"r",116,"drama, war",8.3,"76","a pragmatic u.s. marine observes the dehumanizing effects the vietnam war has on his fellow recruits from their brutal boot camp training to the bloody street fighting in hue.","stanley kubrick","matthew modine, r. lee ermey, vincent d'onofrio, adam baldwin",541758,NA
"6",6,"the monster squad",1987,"pg-13",79,"action, comedy, fantasy",7.1,NA,"a young group of monster fanatics attempt to save their hometown from count dracula and his monsters.","fred dekker","andre gower, robby kiger, stephen macht, duncan regehr",21832,NA
"7",7,"empire of the sun",1987,"pg",153,"drama, history, war",7.8,"62","a young english boy struggles to survive under japanese occupation during world war ii.","steven spielberg","christian bale, john malkovich, miranda richardson, nigel havers",97344,NA
"8",8,"predator",1987,"r",107,"action, sci-fi, thriller",7.8,"40","a team of commandos on a mission in a central american jungle find themselves hunted by an extraterrestrial warrior.","john mctiernan","arnold schwarzenegger, carl weathers, kevin peter hall, elpidia carrillo",314972,NA
"9",9,"overboard",1987,"pg",106,"comedy, romance",6.8,"53","a cruel and beautiful heiress mocks and cheats over a hired carpenter. when she gets amnesia, he decides to introduce her to working-class life by convincing her they're husband and wife.","garry marshall","goldie hawn, kurt russell, edward herrmann, katherine helmond",40728,NA
"10",10,"a nightmare on elm street 3: dream warriors",1987,"r",96,"action, fantasy, horror",6.6,"49","a psychiatrist familiar with knife-wielding dream demon freddy krueger helps teens at a mental hospital battle the killer who is invading their dreams.","chuck russell","heather langenkamp, robert englund, craig wasson, patricia arquette",56205,NA
"11",11,"evil dead ii",1987,"r",84,"comedy, horror",7.8,"69","the lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.","sam raimi","bruce campbell, sarah berry, dan hicks, kassie wesley depaiva",124337,NA
"12",12,"dirty dancing",1987,"pg-13",100,"drama, music, romance",6.9,"65","spending the summer at a catskills resort with her family, frances ""baby"" houseman falls in love with the camp's dance instructor, johnny castle.","emile ardolino","patrick swayze, jennifer grey, jerry orbach, cynthia rhodes",157062,NA
"13",13,"masters of the universe",1987,"pg",106,"action, adventure, fantasy",5.4,NA,"the heroic warrior he-man battles against lord skeletor and his armies of darkness for control of castle grayskull.","gary goddard","dolph lundgren, frank langella, meg foster, billy barty",30565,NA
"14",14,"lethal weapon",1987,"r",110,"action, crime, thriller",7.6,"67","a veteran policeman, murtaugh, is partnered with a younger, suicidal officer, riggs. they both have one thing in common: hating working in pairs. now they must learn to work with one another to stop a gang of drug smugglers.","richard donner","mel gibson, danny glover, gary busey, mitchell ryan",205395,NA
"15",15,"spaceballs",1987,"pg",96,"adventure, comedy, sci-fi",7.1,"46","planet spaceballs' president skroob sends lord dark helmet to steal planet druidia's abundant supply of air to replenish their own, and only lone starr can stop them.","mel brooks","mel brooks, john candy, rick moranis, bill pullman",147567,NA
"16",16,"robocop",1987,"r",102,"action, crime, sci-fi",7.5,"67","in a dystopic and crime-ridden detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.","paul verhoeven","peter weller, nancy allen, dan o'herlihy, ronny cox",197586,NA
"17",17,"the untouchables",1987,"r",119,"crime, drama, thriller",7.9,"79","federal agent eliot ness sets out to stop al capone; because of rampant corruption, he assembles a small, hand-picked team.","brian de palma","kevin costner, sean connery, robert de niro, charles martin smith",235485,NA
"18",18,"the witches of eastwick",1987,"r",118,"comedy, fantasy, horror",6.5,"67","three single women in a picturesque village have their wishes granted, at a cost, when a mysterious and flamboyant man arrives in their lives.","george miller","jack nicholson, cher, susan sarandon, michelle pfeiffer",52039,NA
"19",19,"the running man",1987,"r",101,"action, sci-fi, thriller",6.7,"45","a wrongly convicted man must try to survive a public execution gauntlet staged as a game show.","paul michael glaser","arnold schwarzenegger, maria conchita alonso, yaphet kotto, jim brown",120987,NA
