"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"blade runner",1982,"r",117,"sci-fi, thriller",8.2,"89","a blade runner must pursue and try to terminate four replicants who stole a ship in space and have returned to earth to find their creator.","ridley scott","harrison ford, rutger hauer, sean young, edward james olmos",542098,NA
"2",2,"poltergeist",1982,"pg",114,"horror, thriller",7.4,"79","a family's home is haunted by a host of ghosts.","tobe hooper, steven spielberg","jobeth williams, heather o'rourke, craig t. nelson, beatrice straight",117366,NA
"3",3,"the thing",1982,"r",109,"horror, mystery, sci-fi",8.2,"57","a crew in antarctica finds a neighboring camp destroyed and its crew dead. whatever killed them is nowhere to be found, unless it's hidden in plain sight.","john carpenter","kurt russell, wilford brimley, keith david, richard masur",290808,NA
"4",4,"e.t. the extra-terrestrial",1982,"pg",115,"family, sci-fi",7.9,"91","a troubled child summons the courage to help a friendly alien escape earth and return to his home world.","steven spielberg","henry thomas, drew barrymore, peter coyote, dee wallace",307855,NA
"5",5,"halloween iii: season of the witch",1982,"r",98,"horror, mystery, sci-fi",4.7,"38","kids all over america want silver shamrock masks for halloween. doctor daniel challis seeks to uncover a plot by silver shamrock owner conal cochran.","tommy lee wallace","tom atkins, stacey nelkin, dan o'herlihy, michael currie",32268,NA
"6",6,"fast times at ridgemont high",1982,"r",90,"comedy, drama",7.2,"67","a group of southern california high school students are enjoying their most important subjects: sex, drugs and rock n' roll.","amy heckerling","sean penn, jennifer jason leigh, judge reinhold, robert romanus",78005,NA
"7",7,"friday the 13th part iii",1982,"r",95,"horror, thriller",5.7,NA,"having revived from his wound, jason voorhees takes refuge at a cabin near crystal lake. as a group of co-eds arrive for their vacation, jason continues his killing spree.","steve miner","dana kimmell, tracie savage, richard brooker, terry ballard",36522,NA
"8",8,"annie",1982,"pg",127,"comedy, drama, family",6.5,"39","a young orphan girl's adventures in finding a family that will take her.","john huston","aileen quinn, albert finney, carol burnett, ann reinking",33423,NA
"9",9,"cat people",1982,"r",118,"fantasy, horror, thriller",6.1,"62","a young woman's sexual awakening brings horror when she discovers her urges transform her into a monstrous black leopard.","paul schrader","nastassja kinski, malcolm mcdowell, john heard, annette o'toole",15503,NA
"10",10,"creepshow",1982,"r",120,"comedy, fantasy, horror",6.9,"59","an anthology which tells five terrifying tales based on the e.c. horror comic books of the 1950s.","george a. romero","hal holbrook, leslie nielsen, adrienne barbeau, e.g. marshall",33573,NA
