"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"citizen kane",1941,"approved",119,"drama, mystery",8.4,"100","following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.","orson welles","orson welles, joseph cotten, dorothy comingore, agnes moorehead",327088,NA
"2",2,"blood and sand",1941,"approved",125,"drama, sport",7,NA,"illiterate peasant juan gallardo rises meteorically to fame and fortune in the bullfight arena only to sow the seeds of his own fall.","rouben mamoulian","tyrone power, linda darnell, rita hayworth, alla nazimova",1783,NA
"3",3,"the wolf man",1941,"approved",70,"horror",7.4,NA,"a practical man returns to his homeland, is attacked by a creature of folklore, and infected with a horrific disease his disciplined mind tells him can not possibly exist.","george waggner","claude rains, warren william, lon chaney jr., ralph bellamy",18667,NA
"4",4,"the maltese falcon",1941,"not rated",100,"film-noir, mystery",8.1,NA,"a private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.","john huston","humphrey bogart, mary astor, gladys george, peter lorre",124899,NA
"5",5,"dumbo",1941,"approved",64,"animation, drama, family",7.3,NA,"ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.","samuel armstrong, norman ferguson, wilfred jackson, jack kinney, bill roberts, ben sharpsteen, john elliotte","sterling holloway, edward brophy, james baskett, herman bing",95678,NA
"6",6,"suspicion",1941,"not rated",99,"mystery, thriller",7.4,"83","a shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her.","alfred hitchcock","cary grant, joan fontaine, cedric hardwicke, nigel bruce",26126,NA
"7",7,"how green was my valley",1941,"approved",118,"drama, family",7.8,NA,"at the turn of the century in a welsh mining village, the morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.","john ford","walter pidgeon, maureen o'hara, anna lee, donald crisp",17275,NA
"8",8,"dressed to kill",1941,"approved",74,"crime, film-noir, mystery",6.5,NA,"detective michael shayne and his girlfriend joanne are on their way to be married when a scream from a nearby hotel room draws his attention to a pair of theatrical murders.","eugene forde","lloyd nolan, mary beth hughes, sheila ryan, william demarest",782,NA
"9",9,"adventures of captain marvel",1941,"passed",216,"action, adventure, fantasy",7.6,NA,"to protect a magic talisman from being used for evil, a teenage boy named billy batson is given the power to become an adult superhero, captain marvel, with a single magic word: ""shazam!""","john english, william witney","tom tyler, frank coghlan jr., william 'billy' benedict, louise currie",760,NA
"10",10,"sullivan's travels",1941,"not rated",90,"adventure, comedy, drama",8.1,NA,"a of escapist films goes on the road as a hobo to learn about life, which gives him a rude awakening.","preston sturges","joel mccrea, veronica lake, robert warwick, william demarest",19867,NA
"11",11,"sergeant york",1941,"approved",134,"biography, drama, history",7.8,NA,"a marksman is drafted in world war i and ends up becoming one of the most celebrated war heroes.","howard hawks","gary cooper, walter brennan, joan leslie, george tobias",13124,NA
"12",12,"dr. jekyll and mr. hyde",1941,"passed",113,"horror, sci-fi",6.9,NA,"dr. jekyll allows his dark side to run wild when he drinks a potion that turns him into the evil mr. hyde.","victor fleming","spencer tracy, ingrid bergman, lana turner, donald crisp",7038,NA
"13",13,"penny serenade",1941,"not rated",119,"drama, romance",7.2,NA,"a couple's big dreams give way to a life full of unexpected sadness and unexpected joy.","george stevens","cary grant, irene dunne, beulah bondi, edgar buchanan",5021,NA
"14",14,"the little foxes",1941,"approved",116,"drama, romance",8.2,NA,"the ruthless, moneyed hubbard clan lives in, and poisons, their part of the deep south at the turn of the twentieth century.","william wyler","bette davis, herbert marshall, teresa wright, richard carlson",8292,NA
"15",15,"the lady eve",1941,"not rated",94,"comedy, romance",8,NA,"a trio of classy card sharps targets the socially awkward heir to brewery millions for his money, until one of them falls in love with him.","preston sturges","barbara stanwyck, henry fonda, charles coburn, eugene pallette",15902,NA
"16",16,"meet john doe",1941,"passed",122,"comedy, drama, romance",7.7,NA,"a man needing money agrees to impersonate a nonexistent person who said he'd be committing suicide as a protest, and a political movement begins.","frank capra","gary cooper, barbara stanwyck, edward arnold, walter brennan",9958,NA
"17",17,"high sierra",1941,"passed",100,"action, adventure, crime",7.6,NA,"after being released from prison, notorious thief roy earle is hired by his old boss to help a group of inexperienced criminals plan and carry out the robbery of a california resort.","raoul walsh","ida lupino, humphrey bogart, alan curtis, arthur kennedy",12367,NA
"18",18,"i wake up screaming",1941,"passed",82,"crime, drama, film-noir",7.3,NA,"why is inspector ed cornell trying to railroad frankie christopher for the murder of model vicky lynn?","h. bruce humberstone","betty grable, victor mature, carole landis, laird cregar",2948,NA
"19",19,"mr. & mrs. smith",1941,"approved",95,"comedy, romance",6.5,NA,"a couple who have been married for three years are horrified to learn that their marriage is not legally valid.","alfred hitchcock","carole lombard, robert montgomery, gene raymond, jack carson",7863,NA
"20",20,"hold that ghost",1941,"passed",86,"adventure, comedy, music",7.6,NA,"after inheriting a fortune from a gangster, two dim-witted service station attendants find themselves stranded in a haunted house.","arthur lubin","bud abbott, lou costello, richard carlson, joan davis",2774,NA
"21",21,"ball of fire",1941,"passed",111,"comedy, romance",7.8,NA,"a group of professors working on a new encyclopedia encounter a mouthy nightclub singer who is wanted by the police to help bring down her mob boss lover.","howard hawks","gary cooper, barbara stanwyck, oskar homolka, henry travers",8767,NA
"22",22,"that hamilton woman",1941,"approved",128,"drama, history, romance",7.3,NA,"the story of courtesan and dance-hall girl emma hamilton, including her relationships with sir william hamilton and admiral horatio nelson and her rise and fall, set during the napoleonic wars.","alexander korda","vivien leigh, laurence olivier, alan mowbray, sara allgood",3191,NA
"23",23,"shadow of the thin man",1941,"passed",97,"comedy, crime, mystery",7.3,NA,"nick and nora are at their wisecracking best as they investigate murder and racketeering at a local race track.","w.s. van dyke","william powell, myrna loy, barry nelson, donna reed",4293,NA
"24",24,"ziegfeld girl",1941,"passed",132,"drama, musical, romance",6.9,NA,"discovery by flo ziegfeld changes a girl's life but not necessarily for the better, as three beautiful women find out when they join the spectacle on broadway: susan, the singer who must ...                see full summary »","robert z. leonard, busby berkeley","james stewart, judy garland, hedy lamarr, lana turner",1997,NA
"25",25,"49th parallel",1941,"not rated",104,"drama, war, thriller",7.4,NA,"a world war ii u-boat crew are stranded in northern canada. to avoid internment, they must make their way to the border and get into the still-neutral usa.","michael powell","leslie howard, laurence olivier, richard george, eric portman",4674,NA
"26",26,"tobacco road",1941,"approved",84,"comedy, drama",6.6,NA,"hillbilly family life in 1941 rural georgia.","john ford","charley grapewin, gene tierney, marjorie rambeau, william tracy",1632,NA
"27",27,"topper returns",1941,"approved",88,"comedy, fantasy, mystery",7,NA,"a fun-loving young woman finds herself murdered after trading bedrooms with her wealthy friend. her ghost seeks aid from a banker to find out why and by whom.","roy del ruth","joan blondell, roland young, carole landis, billie burke",1983,NA
"28",28,"the great lie",1941,"approved",108,"drama",7.3,NA,"after a newlywed's husband apparently dies in a plane crash, she discovers that her rival for his affections is now pregnant with his child.","edmund goulding","bette davis, george brent, mary astor, lucile watson",2699,NA
"29",29,"'pimpernel' smith",1941,"passed",120,"adventure, drama, thriller",7.3,NA,"professor horatio smith, while seeming very unassuming, rescues victims of nazi persecution during world war ii.","leslie howard","leslie howard, francis l. sullivan, allan jeayes, peter gawthorne",1036,NA
