"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"the cabin in the woods",2012,"r",95,"horror",7,"72","five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.","drew goddard","kristen connolly, chris hemsworth, anna hutchison, fran kranz",306724,NA
"2",2,"the avengers",2012,"pg-13",143,"action, adventure, sci-fi",8.1,"69","earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous loki and his alien army from enslaving humanity.","joss whedon","robert downey jr., chris evans, scarlett johansson, jeremy renner",1069,NA
"3",3,"django unchained",2012,"r",165,"drama, western",8.4,"81","with the help of a german bounty hunter, a freed slave sets out to rescue his wife from a brutal mississippi plantation owner.","quentin tarantino","jamie foxx, christoph waltz, leonardo dicaprio, kerry washington",1078,NA
"4",4,"the dark knight rises",2012,"pg-13",164,"action, thriller",8.4,"78","eight years after the joker's reign of anarchy, the dark knight, with the help of the enigmatic catwoman, is forced from his exile to save gotham city, now on the edge of total annihilation, from the brutal guerrilla terrorist bane.","christopher nolan","christian bale, tom hardy, anne hathaway, gary oldman",1260,NA
"5",5,"the hunger games",2012,"pg-13",142,"adventure, sci-fi, thriller",7.2,"68","katniss everdeen voluntarily takes her younger sister's place in the hunger games: a televised competition in which two teenagers from each of the twelve districts of panem are chosen at random to fight to the death.","gary ross","jennifer lawrence, josh hutcherson, liam hemsworth, stanley tucci",752008,NA
"6",6,"hotel transylvania",2012,"pg",91,"animation, comedy, family",7.1,"47","dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teen-aged daughter.","genndy tartakovsky","adam sandler, kevin james, andy samberg, selena gomez",182224,NA
"7",7,"dark shadows",2012,"pg-13",113,"comedy, fantasy, horror",6.2,"55","an imprisoned vampire, barnabas collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection.","tim burton","johnny depp, michelle pfeiffer, eva green, helena bonham carter",214745,NA
"8",8,"prometheus",2012,"r",124,"adventure, mystery, sci-fi",7,"65","following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.","ridley scott","noomi rapace, logan marshall-green, michael fassbender, charlize theron",506033,NA
"9",9,"les misérables",2012,"pg-13",158,"drama, history, musical",7.6,"63","in 19th-century france, jean valjean, who for decades has been hunted by the ruthless policeman javert after breaking parole, agrees to care for a factory worker's daughter. the decision changes their lives forever.","tom hooper","hugh jackman, russell crowe, anne hathaway, amanda seyfried",263560,NA
"10",10,"the hobbit: an unexpected journey",2012,"pg-13",169,"adventure, family, fantasy",7.9,"58","a reluctant hobbit, bilbo baggins, sets out to the lonely mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon smaug.","peter jackson","martin freeman, ian mckellen, richard armitage, andy serkis",683094,NA
