"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"edward scissorhands",1990,"pg-13",105,"drama, fantasy, romance",7.9,"74","a gentle man, with scissors for hands, is brought into a new community after living in isolation.","tim burton","johnny depp, winona ryder, dianne wiest, anthony michael hall",386763,NA
"2",2,"goodfellas",1990,"r",146,"biography, crime, drama",8.7,"89","the story of henry hill and his life through the teen years into the years of mafia, covering his relationship with his wife karen hill and his mob partners jimmy conway and tommy devito in the italian-american crime syndicate.","martin scorsese","robert de niro, ray liotta, joe pesci, lorraine bracco",807992,NA
"3",3,"pretty woman",1990,"r",119,"comedy, romance",7,"51","a man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.","garry marshall","richard gere, julia roberts, jason alexander, laura san giacomo",234860,NA
"4",4,"the witches",1990,"pg",91,"adventure, comedy, family",6.8,NA,"a young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse.","nicolas roeg","anjelica huston, mai zetterling, jasen fisher, rowan atkinson",27652,NA
"5",5,"home alone",1990,"pg",103,"comedy, family",7.5,"63","an eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during christmas vacation.","chris columbus","macaulay culkin, joe pesci, daniel stern, john heard",353140,NA
"6",6,"misery",1990,"r",107,"crime, drama, thriller",7.8,"75","after a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.","rob reiner","james caan, kathy bates, richard farnsworth, frances sternhagen",148684,NA
"7",7,"flatliners",1990,"r",115,"drama, horror, sci-fi",6.6,"55","five medical students experiment with ""near death"" experiences, until the dark consequences of past tragedies begin to jeopardize their lives.","joel schumacher","kiefer sutherland, kevin bacon, julia roberts, william baldwin",68221,NA
"8",8,"the reflecting skin",1990,"r",96,"drama, horror, thriller",7,NA,"in the 1950's, a young boy living with his troublesome family in rural usa fantasizes that a neighboring widow is actually a vampire, responsible for a number of disappearances in the area.","philip ridley","viggo mortensen, lindsay duncan, jeremy cooper, sheila moore",5499,NA
"9",9,"the handmaid's tale",1990,"r",108,"drama, romance, sci-fi",6,NA,"in a dystopicly polluted rightwing religious tyranny, a young woman is put in sexual slavery on account of her now rare fertility.","volker schlöndorff","natasha richardson, faye dunaway, aidan quinn, elizabeth mcgovern",6364,NA
"10",10,"the godfather: part iii",1990,"r",162,"crime, drama",7.6,"60","in the midst of trying to legitimize his business dealings in new york and italy in 1979, aging mafia don michael corleone seeks to avow for his sins while taking his nephew vincent mancini under his wing.","francis ford coppola","al pacino, diane keaton, andy garcia, talia shire",297746,NA
