"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"the cabinet of dr. caligari",1920,"unrated",67,"fantasy, horror, mystery",8.1,NA,"hypnotist dr. caligari uses a somnambulist, cesare, to commit murders.","robert wiene","werner krauss, conrad veidt, friedrich feher, lil dagover",44253,NA
"2",2,"dr. jekyll and mr. hyde",1920,"unrated",49,"drama, horror, sci-fi",7,NA,"dr. henry jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.","john s. robertson","john barrymore, martha mansfield, brandon hurst, charles lane",3897,NA
"3",3,"the golem",1920,"unrated",91,"fantasy, horror",7.2,NA,"in 16th-century prague, a rabbi creates the golem - a giant creature made of clay. using sorcery, he brings the creature to life in order to protect the jews of prague from persecution.","carl boese, paul wegener","paul wegener, albert steinrück, ernst deutsch, lyda salmonova",5214,NA
"4",4,"sex",1920,NA,87,"drama",6.5,NA,"a broadway actress uses her sex appeal to ruin a marriage only to dump her lover for a richer prospect.","fred niblo","louise glaum, irving cummings, peggy pearce, myrtle stedman",218,NA
"5",5,"way down east",1920,"not rated",145,"drama, romance",7.9,NA,"a naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.","d.w. griffith","lillian gish, richard barthelmess, mrs. david landau, lowell sherman",4155,NA
"6",6,"within our gates",1920,"not rated",79,"drama, romance",6.4,NA,"abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.","oscar micheaux","evelyn preer, flo clements, james d. ruffin, jack chenault",1596,NA
"7",7,"the penalty",1920,"passed",90,"crime, drama, horror",7.5,NA,"a deformed criminal mastermind plans to loot the city of san francisco as well as revenge himself on the doctor who mistakenly amputated his legs.","wallace worsley","charles clary, doris pawn, jim mason, lon chaney",1598,NA
"8",8,"the last of the mohicans",1920,"not rated",73,"adventure, drama",6.9,NA,"as alice and cora munro attempt to find their father, a british officer in the french and indian war, they are set upon by french soldiers and their cohorts, huron tribesmen led by the evil...                see full summary »","clarence brown, maurice tourneur","wallace beery, barbara bedford, alan roscoe, lillian hall",914,NA
"9",9,"the daughter of dawn",1920,NA,80,"western",5.8,NA,"this restored silent film features a love triangle involving a kiowa chief's daughter and ensuing conflict between kiowa and comanche villages.","norbert a. myles","belo cozad, em-koy-e-tie, hunting horse, esther lebarre",235,NA
"10",10,"the mark of zorro",1920,"not rated",107,"adventure, romance, western",7.3,NA,"a seemingly idiotic fop is really the courageous vigilante zorro, who seeks to protect the oppressed.","fred niblo","douglas fairbanks, marguerite de la motte, robert mckim, noah beery",1781,NA
"11",11,"genuine",1920,NA,88,"horror",6,NA,"extremely rare work of robert wiene. from the and year of excellent ""the cabinet of dr. caligari"" this work was eventually overshadowed by the success of caligari. it has a dreamy atmosphere, like another world or something.","robert wiene","fern andra, hans heinrich von twardowski, ernst gronau, harald paulsen",664,NA
