"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"the old dark house",1932,"tv-g",72,"comedy, horror",7.3,NA,"seeking shelter from a storm, five travelers are in for a bizarre and terrifying night when they stumble upon the femm family estate.","james whale","boris karloff, melvyn douglas, charles laughton, gloria stuart",6145,NA
"2",2,"the mummy",1932,"tv-pg",73,"fantasy, horror",7.2,NA,"a living mummy stalks the beautiful woman he believes is the reincarnation of his lover.","karl freund","boris karloff, zita johann, david manners, arthur byron",18409,NA
"3",3,"freaks",1932,"unrated",64,"drama, horror",7.9,NA,"a circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.","tod browning","wallace ford, leila hyams, olga baclanova, roscoe ates",35155,NA
"4",4,"white zombie",1932,"passed",69,"horror",6.4,NA,"a young man turns to a witch doctor to lure the woman he loves away from her fiancé, but instead turns her into a zombie slave.","victor halperin","bela lugosi, madge bellamy, joseph cawthorn, robert frazer",7424,NA
"5",5,"scarface",1932,"passed",93,"action, crime, drama",7.8,NA,"an ambitious and near insanely violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.","howard hawks, richard rosson","paul muni, ann dvorak, karen morley, osgood perkins",21155,NA
"6",6,"vampyr",1932,"not rated",75,"fantasy, horror",7.6,NA,"a drifter obsessed with the supernatural stumbles upon an inn where a severely ill adolescent girl is slowly becoming a vampire.","carl theodor dreyer","julian west, maurice schutz, rena mandel, sybille schmitz",12280,NA
"7",7,"island of lost souls",1932,"not rated",70,"horror, sci-fi",7.5,NA,"an obsessed scientist conducts profane experiments in evolution, eventually establishing himself as the self-styled demigod to a race of mutated, half-human abominations.","erle c. kenton","charles laughton, bela lugosi, richard arlen, leila hyams",6328,NA
"8",8,"grand hotel",1932,"passed",112,"drama, romance",7.6,NA,"a group of very different individuals staying at a luxurious hotel in berlin deal with each of their respective dramas.","edmund goulding","greta garbo, john barrymore, joan crawford, wallace beery",14177,NA
"9",9,"tarzan the ape man",1932,"passed",100,"action, adventure, romance",7.2,NA,"a trader and his daughter set off in search of the fabled graveyard of the elephants in deepest africa, only to encounter a wild man raised by apes.","w.s. van dyke","johnny weissmuller, neil hamilton, c. aubrey smith, maureen o'sullivan",5883,NA
"10",10,"the most dangerous game",1932,"not rated",63,"adventure, horror, mystery",7.3,NA,"an insane hunter arranges for a ship to be wrecked on an island where he can indulge in some sort of hunting and killing of the passengers.","irving pichel, ernest b. schoedsack","joel mccrea, fay wray, leslie banks, robert armstrong",7905,NA
