"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"saw 3d: the final chapter",2010,"r",90,"horror, mystery",5.6,"24","as a deadly battle rages over jigsaw's brutal legacy, a group of jigsaw survivors gathers to seek the support of self-help guru and fellow survivor bobby dagen, a man whose own dark secrets unleash a new wave of terror.","kevin greutert","tobin bell, costas mandylor, betsy russell, cary elwes",75422,NA
"2",2,"black swan",2010,"r",108,"drama, thriller",8,"79","a committed dancer wins the lead role in a production of tchaikovsky's ""swan lake"" only to find herself struggling to maintain her sanity.","darren aronofsky","natalie portman, mila kunis, vincent cassel, winona ryder",597652,NA
"3",3,"inception",2010,"pg-13",148,"action, adventure, sci-fi",8.8,"74","a thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a ceo.","christopher nolan","leonardo dicaprio, joseph gordon-levitt, ellen page, ken watanabe",1640,NA
"4",4,"insidious",2010,"pg-13",103,"horror, mystery, thriller",6.8,"52","a family looks to prevent evil spirits from trapping their comatose child in a realm called the further.","james wan","patrick wilson, rose byrne, ty simpkins, lin shaye",228430,NA
"5",5,"a nightmare on elm street",2010,"r",95,"crime, drama, horror",5.2,"35","the spectre of a dead child rapist haunts the children of the parents who murdered him, stalking and killing them in their dreams.","samuel bayer","jackie earle haley, rooney mara, kyle gallner, katie cassidy",80431,NA
"6",6,"srpski film",2010,"nc-17",104,"horror, mystery, thriller",5.2,NA,"an aging porn star agrees to participate in an ""art film"" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film.","srdjan spasojevic","srdjan 'zika' todorovic, sergej trifunovic, jelena gavrilovic, slobodan bestic",45640,NA
"7",7,"shutter island",2010,"r",138,"mystery, thriller",8.1,"63","in 1954, a u.s. marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane.","martin scorsese","leonardo dicaprio, emily mortimer, mark ruffalo, ben kingsley",890954,NA
"8",8,"scott pilgrim vs. the world",2010,"pg-13",112,"action, comedy, romance",7.5,"69","scott pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.","edgar wright","michael cera, mary elizabeth winstead, kieran culkin, alison pill",303963,NA
"9",9,"kick-ass",2010,"r",117,"action, comedy",7.7,"66","dave lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.","matthew vaughn","aaron taylor-johnson, nicolas cage, chloë grace moretz, garrett m. brown",467717,NA
"10",10,"iron man 2",2010,"pg-13",124,"action, adventure, sci-fi",7,"57","with the world now aware of his identity as iron man, tony stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","jon favreau","robert downey jr., mickey rourke, gwyneth paltrow, don cheadle",575095,NA
"11",11,"the town",2010,"r",125,"crime, drama, thriller",7.6,"74","as he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the f.b.i. agent looking to bring him and his crew down.","ben affleck","ben affleck, rebecca hall, jon hamm, jeremy renner",301082,NA
"12",12,"harry potter and the deathly hallows: part 1",2010,"pg-13",146,"adventure, family, fantasy",7.7,"65","as harry races against time and evil to destroy the horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the deathly hallows.","david yates","daniel radcliffe, emma watson, rupert grint, bill nighy",371504,NA
"13",13,"tucker and dale vs evil",2010,"r",89,"comedy, horror",7.6,"65","affable hillbillies tucker and dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students.","eli craig","tyler labine, alan tudyk, katrina bowden, jesse moss",141777,NA
"14",14,"alice in wonderland",2010,"pg",108,"adventure, family, fantasy",6.5,"53","nineteen-year-old alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the red queen's reign of terror.","tim burton","mia wasikowska, johnny depp, helena bonham carter, anne hathaway",333122,NA
"15",15,"boy",2010,"not rated",87,"comedy, drama",7.5,"70","set on the east coast of new zealand in 1984, boy, an 11-year-old child and devout michael jackson fan, gets a chance to know his absentee criminal father, who has returned to find a bag of money he buried years ago.","taika waititi","james rolleston, taika waititi, moerangi tihore, cherilee martin",11981,NA
"16",16,"the next three days",2010,"pg-13",133,"crime, drama, romance",7.4,"52","a married couple's life is turned upside down when the wife is accused of a murder.","paul haggis","russell crowe, elizabeth banks, liam neeson, michael buie",156138,NA
"17",17,"never let me go",2010,"r",103,"drama, romance, sci-fi",7.2,"69","the lives of three friends, from their early school days into young adulthood, when the reality of the world they live in comes knocking.","mark romanek","keira knightley, carey mulligan, andrew garfield, izzy meikle-small",119857,NA
"18",18,"incendies",2010,"r",131,"drama, mystery, war",8.2,"80","twins journey to the middle east to discover their family history, and fulfill their mother's last wishes.","denis villeneuve","lubna azabal, mélissa désormeaux-poulin, maxim gaudette, mustafa kamel",99798,NA
"19",19,"the social network",2010,"pg-13",120,"biography, drama",7.7,"95","harvard student mark zuckerberg creates the social networking site that would become known as facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.","david fincher","jesse eisenberg, andrew garfield, justin timberlake, rooney mara",525247,NA
"20",20,"tangled",2010,"pg",100,"animation, adventure, comedy",7.8,"71","the magically long-haired rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","nathan greno, byron howard","mandy moore, zachary levi, donna murphy, ron perlman",327728,NA
"21",21,"the other guys",2010,"pg-13",107,"action, comedy, crime",6.7,"64","two mismatched new york city detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.","adam mckay","will ferrell, mark wahlberg, derek jeter, eva mendes",204974,NA
