"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"1",1,"the ten commandments",1956,"approved",220,"adventure, drama",7.9,NA,"the egyptian prince, moses, learns of his true heritage as a hebrew and his divine mission as the deliverer of his people.","cecil b. demille","charlton heston, yul brynner, anne baxter, edward g. robinson",52187,NA
"2",2,"forbidden planet",1956,"approved",98,"action, adventure, sci-fi",7.7,NA,"a starship crew goes to investigate the silence of a planet's colony only to find two survivors and a deadly secret that one of them has.","fred m. wilcox","walter pidgeon, anne francis, leslie nielsen, warren stevens",37534,NA
"3",3,"invasion of the body snatchers",1956,"approved",80,"drama, horror, sci-fi",7.8,NA,"a small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.","don siegel","kevin mccarthy, dana wynter, larry gates, king donovan",37377,NA
"4",4,"the searchers",1956,"approved",119,"adventure, drama, western",8,NA,"an american civil war veteran embarks on a journey to rescue his niece from the comanches.","john ford","john wayne, jeffrey hunter, vera miles, ward bond",67485,NA
"5",5,"giant",1956,"approved",201,"drama, western",7.7,NA,"sprawling epic covering the life of a texas cattle rancher and his family and associates.","george stevens","elizabeth taylor, rock hudson, james dean, carroll baker",28485,NA
"6",6,"the killing",1956,"not rated",85,"crime, drama, film-noir",8,NA,"crooks plan and execute a daring race-track robbery.","stanley kubrick","sterling hayden, coleen gray, vince edwards, jay c. flippen",67367,NA
"7",7,"the man who knew too much",1956,"approved",120,"drama, thriller",7.5,NA,"a family vacationing in morocco accidentally stumble on to an assassination plot and the conspirators are determined to prevent them from interfering.","alfred hitchcock","james stewart, doris day, brenda de banzie, bernard miles",46588,NA
"8",8,"the king and i",1956,"approved",133,"biography, drama, musical",7.5,NA,"a widow accepts a job as a live-in governess to the king of siam's children.","walter lang","yul brynner, deborah kerr, rita moreno, martin benson",20538,NA
"9",9,"the bad seed",1956,"approved",129,"crime, drama, horror",7.5,NA,"a housewife suspects that her seemingly perfect eight year-old daughter is a heartless killer.","mervyn leroy","nancy kelly, patty mccormack, henry jones, eileen heckart",10531,NA
"10",10,"the last wagon",1956,"approved",98,"adventure, drama, western",7,NA,"wagon train survivors of an apache attack entrust the sheriff's prisoner, scout comanche todd, with their lives despite his wanted-for-murder status.","delmer daves","richard widmark, felicia farr, susan kohner, tommy rettig",2064,NA
"11",11,"moby dick",1956,"unrated",116,"adventure, drama",7.4,NA,"the sole survivor of a lost whaling ship relates the tale of his captain's self-destructive obsession to hunt the white whale, moby dick.","john huston","gregory peck, richard basehart, leo genn, james robertson justice",14478,NA
"12",12,"around the world in 80 days",1956,"passed",175,"adventure, comedy, family",6.8,NA,"a victorian englishman bets that with the new steamships and railways he can circumnavigate the globe in eighty days.","michael anderson, john farrow","david niven, cantinflas, shirley maclaine, robert newton",19840,NA
"13",13,"war and peace",1956,"pg",208,"drama, romance, war",6.8,NA,"napoleon's tumultuous relations with russia including his disastrous 1812 invasion serve as the backdrop for the tangled personal lives of two aristocratic families.","king vidor","audrey hepburn, henry fonda, mel ferrer, vittorio gassman",7441,NA
"14",14,"lust for life",1956,"approved",122,"biography, drama",7.4,NA,"the life of brilliant but tortured artist vincent van gogh.","vincente minnelli, george cukor","kirk douglas, anthony quinn, james donald, pamela brown",8345,NA
"15",15,"bus stop",1956,"approved",96,"comedy, drama, romance",6.7,NA,"a naive but stubborn cowboy falls in love with a saloon singer and tries to take her away against her will to get married and live on his ranch in montana.","joshua logan","marilyn monroe, don murray, arthur o'connell, betty field",8976,NA
"16",16,"high society",1956,"approved",111,"comedy, musical, romance",7,NA,"a spoiled heiress must choose between three suitors: her jazz musician ex-husband, a stuffy businessman, and an undercover tabloid reporter.","charles walters","bing crosby, grace kelly, frank sinatra, celeste holm",11294,NA
"17",17,"...and god created woman",1956,"pg",90,"drama, romance",6.3,NA,"in sunny st. tropez, a young sexpot loves one brother but marries the other.","roger vadim","brigitte bardot, curd jürgens, jean-louis trintignant, jane marken",6045,NA
"18",18,"the wrong man",1956,"not rated",105,"drama, film-noir",7.5,NA,"in 1953, an innocent man named christopher emmanuel ""manny"" balestrero is arrested after being mistaken for an armed robber.","alfred hitchcock","henry fonda, vera miles, anthony quayle, harold j. stone",20863,NA
